ticker,signal_date,return_6m,return_12m_ex_1m,momentum_score,volatility_1y,max_drawdown_1y,low_volatility_score,name,available_date,fiscal_period,value_score,quality_score,composite_score,composite_weight_coverage,factor_scope
011200,2023-01-31,,,,,,,에이치엠엠(주),2022-03-31,2021-12,0.3440104994902649,1.4192295936473376,0.9304936417577591,0.55,integrated_value_quality_momentum_low_volatility
007340,2023-01-31,,,,,,,(주)디엔오토모티브,2022-03-31,2021-12,0.3981489862425188,1.3476316971357891,0.9160486467297572,0.55,integrated_value_quality_momentum_low_volatility
137310,2023-01-31,,,,,,,에스디바이오센서(주),2022-03-31,2021-12,-0.0854659056487049,1.4483988556587006,0.7511876005189708,0.55,integrated_value_quality_momentum_low_volatility
011780,2023-01-31,,,,,,,금호석유화학(주),2022-03-31,2021-12,0.1677191364810947,1.2276711153598256,0.7458747613240388,0.55,integrated_value_quality_momentum_low_volatility
007070,2023-01-31,,,,,,,(주)지에스리테일,2022-03-31,2021-12,0.4822187458092444,0.6541751084737862,0.5760131254444489,0.55,integrated_value_quality_momentum_low_volatility
000210,2023-01-31,,,,,,,디엘(주),2022-03-31,2021-12,0.575523464694824,0.5276968038975626,0.5494361951690451,0.55,integrated_value_quality_momentum_low_volatility
071320,2023-01-31,,,,,,,한국지역난방공사,2022-03-31,2021-12,0.48733347262037,0.5911393644137757,0.5439548681440458,0.55,integrated_value_quality_momentum_low_volatility
000990,2023-01-31,,,,,,,(주)디비하이텍,2022-03-31,2021-12,-0.2007456494320516,1.1578805501774776,0.5403231867186006,0.55,integrated_value_quality_momentum_low_volatility
004000,2023-01-31,,,,,,,롯데정밀화학(주),2022-03-31,2021-12,0.3592799020501289,0.6753657861976293,0.5316903843124018,0.55,integrated_value_quality_momentum_low_volatility
003240,2023-01-31,,,,,,,태광산업(주),2022-03-31,2021-12,0.609497774176804,0.4057227011527975,0.49834773434552765,0.55,integrated_value_quality_momentum_low_volatility
192080,2023-01-31,,,,,,,(주)더블유게임즈,2022-03-31,2021-12,0.3091890121358917,0.6329360012139462,0.4857782789057396,0.55,integrated_value_quality_momentum_low_volatility
005490,2023-01-31,,,,,,,포스코홀딩스(주),2022-03-31,2021-12,0.5587911945296118,0.4189437648117236,0.4825107783198545,0.55,integrated_value_quality_momentum_low_volatility
028670,2023-01-31,,,,,,,팬오션(주),2022-03-31,2021-12,0.4555285177695068,0.4825336788346463,0.4702586056232192,0.55,integrated_value_quality_momentum_low_volatility
103140,2023-01-31,,,,,,,(주)풍산,2022-03-31,2021-12,0.5583960637252114,0.3856403454335208,0.46416567192974373,0.55,integrated_value_quality_momentum_low_volatility
000660,2023-01-31,,,,,,,에스케이하이닉스(주),2022-03-31,2021-12,0.1823325102560151,0.6658397045010767,0.44606370711695775,0.55,integrated_value_quality_momentum_low_volatility
023530,2023-01-31,,,,,,,롯데쇼핑(주),2022-03-31,2021-12,0.5538064303420285,0.3548591095578889,0.44528970991431593,0.55,integrated_value_quality_momentum_low_volatility
003550,2023-01-31,,,,,,,(주)엘지,2022-03-31,2021-12,0.2496452210291214,0.6065934674125704,0.4443442645110026,0.55,integrated_value_quality_momentum_low_volatility
006650,2023-01-31,,,,,,,대한유화(주),2022-03-31,2021-12,0.4909652758989505,0.4011405674260423,0.44196998036827323,0.55,integrated_value_quality_momentum_low_volatility
030200,2023-01-31,,,,,,,(주)케이티,2022-03-31,2021-12,0.5045108776414174,0.3877406540910999,0.4408180284321533,0.55,integrated_value_quality_momentum_low_volatility
006260,2023-01-31,,,,,,,(주)엘에스,2022-03-31,2021-12,0.5441911032601724,0.3186043161106064,0.4211437648149545,0.55,integrated_value_quality_momentum_low_volatility
032640,2023-01-31,,,,,,,(주)엘지유플러스,2022-03-31,2021-12,0.4412137661778083,0.3857886569287097,0.4109818884055726,0.55,integrated_value_quality_momentum_low_volatility
285130,2023-01-31,,,,,,,에스케이케미칼(주),2022-03-31,2021-12,-0.0851697804305222,0.7980981269399716,0.39661271449883795,0.55,integrated_value_quality_momentum_low_volatility
001430,2023-01-31,,,,,,,(주)세아베스틸지주,2022-03-31,2021-12,0.5650149895425842,0.2520170464381908,0.3942888387583696,0.55,integrated_value_quality_momentum_low_volatility
005850,2023-01-31,,,,,,,에스엘(주),2022-03-31,2021-12,0.3164315677381599,0.4423431989566951,0.3851106393119063,0.55,integrated_value_quality_momentum_low_volatility
004020,2023-01-31,,,,,,,현대제철(주),2022-03-31,2021-12,0.6169485894094876,0.1848512458622836,0.38125912929283085,0.55,integrated_value_quality_momentum_low_volatility
268280,2023-01-31,,,,,,,미원스페셜티케미칼(주),2022-03-31,2021-12,-0.3677238858834616,0.9989397124923908,0.37772898595791243,0.55,integrated_value_quality_momentum_low_volatility
010130,2023-01-31,,,,,,,고려아연(주),2022-03-31,2021-12,0.2400972502957637,0.4746581448996412,0.3680395564433332,0.55,integrated_value_quality_momentum_low_volatility
033780,2023-01-31,,,,,,,(주)케이티앤지,2022-03-31,2021-12,0.2380305619344312,0.471799366508343,0.36554081897474666,0.55,integrated_value_quality_momentum_low_volatility
000150,2023-01-31,,,,,,,(주)두산,2022-03-31,2021-12,0.4462581515703943,0.2940452264182939,0.3632329196692486,0.55,integrated_value_quality_momentum_low_volatility
375500,2023-01-31,,,,,,,디엘이앤씨(주),2022-03-31,2021-12,0.4970282014984097,0.2460827354542671,0.36014885638342276,0.55,integrated_value_quality_momentum_low_volatility
011170,2023-01-31,,,,,,,롯데케미칼(주),2022-03-31,2021-12,0.4899842353925968,0.241801631757105,0.354611906136874,0.55,integrated_value_quality_momentum_low_volatility
047040,2023-01-31,,,,,,,(주)대우건설,2022-03-31,2021-12,0.4267114579133561,0.2845762265353632,0.3491831498889963,0.55,integrated_value_quality_momentum_low_volatility
069960,2023-01-31,,,,,,,(주)현대백화점,2022-03-31,2021-12,0.5159656339490957,0.201184053639832,0.34426659014404276,0.55,integrated_value_quality_momentum_low_volatility
267250,2023-01-31,,,,,,,에이치디현대(주),2022-03-31,2021-12,0.4500182104637781,0.2534198782163798,0.3427827565106517,0.55,integrated_value_quality_momentum_low_volatility
069260,2023-01-31,,,,,,,티케이지휴켐스(주),2022-03-31,2021-12,0.2345623322434649,0.4207683135332534,0.33612923112880405,0.55,integrated_value_quality_momentum_low_volatility
086790,2023-01-31,,,,,,,(주)하나금융지주,2022-03-31,2021-12,0.4405702457824274,0.2487010947949696,0.335914345243814,0.55,integrated_value_quality_momentum_low_volatility
175330,2023-01-31,,,,,,,(주)JB금융지주,2022-03-31,2021-12,0.4034942087867599,0.2729111954442137,0.3322671105999165,0.55,integrated_value_quality_momentum_low_volatility
