ticker,signal_date,return_6m,return_12m_ex_1m,return_6m_momentum_z,return_12m_ex_1m_momentum_z,momentum_score,volatility_1y,max_drawdown_1y,volatility_1y_low_volatility_z,max_drawdown_1y_low_volatility_z,low_volatility_score,composite_score,composite_weight_coverage,factor_scope
000080,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000100,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000120,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000150,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000210,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000240,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000270,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000660,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000670,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000720,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000810,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000880,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
000990,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001040,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001430,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001440,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001450,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001680,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
001800,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002030,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002380,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002790,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
002840,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003030,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003090,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003230,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003240,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003490,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003550,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
003670,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004000,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004020,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004170,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004370,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
004990,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005300,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005380,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005420,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005490,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005830,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005850,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005930,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
005940,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006040,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006260,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006280,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006400,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
006650,2023-01-31,,,,,,,,,,,,0.0,price_momentum_low_volatility_sample
