rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,requested_report_name,thstrm_add_amount,frmtrm_add_amount
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,유동자산,제 52 기,2025.12.31 현재,"3,356,846,142,791",제 51 기,2024.12.31 현재,"3,052,191,652,183",제 50 기,2023.12.31 현재,"2,605,193,022,178",1,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,비유동자산,제 52 기,2025.12.31 현재,"1,599,834,175,581",제 51 기,2024.12.31 현재,"1,433,005,812,201",제 50 기,2023.12.31 현재,"1,127,698,912,052",3,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,자산총계,제 52 기,2025.12.31 현재,"4,956,680,318,372",제 51 기,2024.12.31 현재,"4,485,197,464,384",제 50 기,2023.12.31 현재,"3,732,891,934,230",5,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,유동부채,제 52 기,2025.12.31 현재,"1,864,659,912,559",제 51 기,2024.12.31 현재,"1,846,349,798,510",제 50 기,2023.12.31 현재,"1,448,676,924,745",7,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,비유동부채,제 52 기,2025.12.31 현재,"950,721,553,437",제 51 기,2024.12.31 현재,"748,755,582,426",제 50 기,2023.12.31 현재,"560,172,706,322",9,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,부채총계,제 52 기,2025.12.31 현재,"2,815,381,465,996",제 51 기,2024.12.31 현재,"2,595,105,380,936",제 50 기,2023.12.31 현재,"2,008,849,631,067",11,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,자본금,제 52 기,2025.12.31 현재,"150,000,000,000",제 51 기,2024.12.31 현재,"150,000,000,000",제 50 기,2023.12.31 현재,"150,000,000,000",13,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 52 기,2025.12.31 현재,"1,939,179,544,999",제 51 기,2024.12.31 현재,"1,743,475,249,718",제 50 기,2023.12.31 현재,"1,596,891,858,077",17,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,BS,재무상태표,자본총계,제 52 기,2025.12.31 현재,"2,141,298,852,376",제 51 기,2024.12.31 현재,"1,890,092,083,448",제 50 기,2023.12.31 현재,"1,724,042,303,163",21,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,IS,손익계산서,매출액,제 52 기,2025.01.01 ~ 2025.12.31,"4,965,798,552,980",제 51 기,2024.01.01 ~ 2024.12.31,"4,551,837,252,467",제 50 기,2023.01.01 ~ 2023.12.31,"4,230,482,628,448",23,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,IS,손익계산서,영업이익,제 52 기,2025.01.01 ~ 2025.12.31,"426,407,143,017",제 51 기,2024.01.01 ~ 2024.12.31,"389,717,122,317",제 50 기,2023.01.01 ~ 2023.12.31,"324,877,723,039",25,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2025.01.01 ~ 2025.12.31,"410,070,300,948",제 51 기,2024.01.01 ~ 2024.12.31,"333,366,621,610",제 50 기,2023.01.01 ~ 2023.12.31,"264,096,354,254",27,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2025.01.01 ~ 2025.12.31,"284,256,733,172",제 51 기,2024.01.01 ~ 2024.12.31,"242,237,998,768",제 50 기,2023.01.01 ~ 2023.12.31,"207,672,688,149",29,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2025.01.01 ~ 2025.12.31,"284,256,733,172",제 51 기,2024.01.01 ~ 2024.12.31,"242,237,998,768",제 50 기,2023.01.01 ~ 2023.12.31,"207,672,688,149",61,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 52 기,2025.01.01 ~ 2025.12.31,"322,029,713,447",제 51 기,2024.01.01 ~ 2024.12.31,"212,791,911,366",제 50 기,2023.01.01 ~ 2023.12.31,"197,562,938,711",63,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,OFS,재무제표,BS,재무상태표,유동자산,제 52 기,2025.12.31 현재,"2,355,037,720,941",제 51 기,2024.12.31 현재,"1,918,909,870,614",제 50 기,2023.12.31 현재,"1,737,038,642,214",2,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,OFS,재무제표,BS,재무상태표,비유동자산,제 52 기,2025.12.31 현재,"1,644,911,321,757",제 51 기,2024.12.31 현재,"1,538,063,251,103",제 50 기,2023.12.31 현재,"1,348,803,472,498",4,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,OFS,재무제표,BS,재무상태표,자산총계,제 52 기,2025.12.31 현재,"3,999,949,042,698",제 51 기,2024.12.31 현재,"3,456,973,121,717",제 50 기,2023.12.31 현재,"3,085,842,114,712",6,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,OFS,재무제표,BS,재무상태표,유동부채,제 52 기,2025.12.31 현재,"1,246,173,035,872",제 51 기,2024.12.31 현재,"1,136,472,825,414",제 50 기,2023.12.31 현재,"912,848,692,875",8,KRW,2025 사업보고서,,
20260318001243,11011,2025,00105855,010120,OFS,재무제표,BS,재무상태표,비유동부채,제 52 기,2025.12.31 현재,"766,864,684,584",제 51 기,2024.12.31 현재,"560,272,883,663",제 50 기,2023.12.31 현재,"544,639,457,520",10,KRW,2025 사업보고서,,
