status,message,corp_code,corp_name,corp_name_eng,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt,ticker,rank
000,정상,00164779,에스케이하이닉스(주),SK hynix Inc.,SK하이닉스,000660,곽노정,Y,1344110001387,1268103725,경기도 이천시  부발읍 경충대로 2091,www.skhynix.com,,031-630-4114,031-645-8078,2612,19491015,12,000660,1
000,정상,00105961,엘지이노텍(주),"LG INNOTEK CO., LTD.",LG이노텍,011070,문혁수,Y,1101110192180,1058174316,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,www.lginnotek.co.kr,,02-3777-1114,(02)3777-0241,262,19760224,12,011070,2
000,정상,00126371,삼성전기(주),"SAMSUNG ELECTRO-MECHANICS CO.,LTD",삼성전기,009150,장덕현,Y,1301110001626,1248100979,경기도 수원시 영통구  매영로 150,www.sem.samsung.co.kr,,031-210-5114,031-210-5087,2622,19730808,12,009150,3
000,정상,00124540,(주)대우건설,"DAEWOO ENGINEERING & CONSTRUCTION CO.,LTD",대우건설,047040,김보현,Y,1101112137895,1048158180,서울특별시 중구 을지로 170 (을지로4가),daewooenc.com,,02-2288-3114,02-2288-3113,41112,20001227,12,047040,4
000,정상,00195229,(주)미스토홀딩스,Misto Holdings Corporation,미스토홀딩스,081660,윤근창,Y,1101110792667,1148144271,"서울특별시 성북구 보문로 35 9층, 10층",www.mistoholdings.com,,02-1533-6400,02-3470-9548,464,19910723,12,081660,5
000,정상,00126380,삼성전자(주),"SAMSUNG ELECTRONICS CO,.LTD",삼성전자,005930,"전영현, 노태문",Y,1301110006246,1248100998,경기도 수원시 영통구  삼성로 129 (매탄동),www.samsung.com/sec,,02-2255-0114,031-200-7538,264,19690113,12,005930,6
000,정상,01596425,에스케이스퀘어 주식회사,"SK Square Co., Ltd.",SK스퀘어,402340,김정규,Y,1101118077821,5408102301,서울특별시 중구 을지로 65 SK T타워,www.sksquare.com,,02-6100-3114,,64992,20211102,12,402340,7
000,정상,00858364,(주)BNK금융지주,BNK Financial Group Inc.,BNK금융지주,138930,빈대인,Y,1801110750893,6058605385,부산광역시 남구 문현금융로 30(문현동),www.bnkfg.com,,051-620-3023,051-620-3040,64992,20110315,12,138930,8
000,정상,00160843,주식회사 DB하이텍,"DB HiTek Co.,LTD",DB하이텍,000990,조기석,Y,1101110026206,2118110771,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,,032-680-4700,02-550-1899,2611,19530428,12,000990,9
000,정상,00181712,SK(주),SK Inc.,SK,034730,"최태원, 장용호",Y,1101110769583,2208116503,서울특별시 종로구 종로 26 SK주식회사,www.sk-inc.com/,,02-2121-5114,02-2121-1789,64992,19910413,12,034730,10
000,정상,00432102,한국투자금융지주(주),"Korea Investment Holdings Co., Ltd",한국금융지주,071050,김남구,Y,1101112691651,2148726478,서울특별시 영등포구  의사당대로 88,www.koreaholdings.com,,02-3276-6400,02-3276-6402,64992,20030111,12,071050,11
000,정상,00980122,(주)JB금융지주,"JB FINANCIAL GROUP CO.,LTD",JB금융지주,175330,김기홍,Y,2101110091498,4188144697,전라북도 전주시 덕진구  백제대로 566,www.jbfg.com,,02-2128-2714,063-250-7970,64992,20130701,12,175330,12
000,정상,00109693,디엘 주식회사,"DL Holdings CO.,LTD",DL,000210,김종현,Y,1101110084915,1168135007,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",www.dlholdings.co.kr,,02-2011-7114,02-2011-8035,20111,19391010,12,000210,13
000,정상,00878915,(주)아이엠금융지주,"iM Financial Group Co., Ltd.",iM금융지주,139130,황병우,Y,1701110429523,5028610560,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,www.imfngroup.com,,0537407900,053-740-7999,64992,20110517,12,139130,14
000,정상,00631518,SK이노베이션(주),"SK Innovation Co., Ltd.",SK이노베이션,096770,"추형욱, 장용호",Y,1101113710385,1018632319,서울특별시 종로구  종로 26,www.SKinnovation.com,,02-2121-5114,02-2121-2118,192,20070703,12,096770,15
000,정상,00939331,한국콜마(주),"KOLMAR KOREA CO.,LTD",한국콜마,161890,최현규,Y,1647110030756,3078138444,세종특별자치시  전의면 덕고개길 12-11,https://www.kolmar.co.kr/,,02-3459-5952,02-515-1531,20423,20121002,12,161890,16
000,정상,00113410,씨제이대한통운(주),CJ Logistics Corporation ,CJ대한통운,000120,"신영수, 민영학 (각자 대표)",Y,1101110006167,1108105034,서울특별시 종로구 종로5길 7(청진동) Tower 8,www.cjlogistics.com,www.cjlogistics.com,02-3782-0114,02-771-8624,493,19301115,12,000120,17
000,정상,00164742,현대자동차(주),HYUNDAI MOTOR CO,현대자동차,005380,"정의선, 무뇨스 바르셀로 호세 안토니오, 최영일(각자 대표이사)",Y,1101110085450,1018109147,서울특별시 서초구  헌릉로 12,www.hyundai.com,,02-3464-1114,02-3464-8719,30121,19671229,12,005380,18
000,정상,00157681,롯데정밀화학(주),"LOTTE Fine Chemical Co., Ltd.",롯데정밀화학,004000,정승원,Y,1812110000013,6108100029,울산광역시 남구 여천로217번길 19,www.lottefinechem.com,,052-270-6112-4,02-6974-4546,20119,19640827,12,004000,19
000,정상,00401731,LG전자(주),LG ELECTRONICS INC.,LG전자,066570,류재철,Y,1101112487050,1078614075,서울특별시 영등포구  여의대로 128 LG트윈타워,www.lge.co.kr,www.lge.co.kr/company/investor/presentation#com-tabs01,02-3777-1114,3777-3428,264,20020401,12,066570,20
000,정상,00481454,금호타이어(주),"KUMHO TIRE CO., INC.",금호타이어,073240,정일택,Y,1101112810590,1018195610,광주광역시 광산구  어등대로 658,www.kumhotire.co.kr,https://www.kumhotire.com/ko/company/irdata/list.do,02-6303-8114,02-6303-8159,221,20030630,12,073240,21
000,정상,00760971,주식회사 크래프톤,"KRAFTON, Inc.",크래프톤,259960,김창한,Y,1101113645772,2208745316,서울특별시 강남구 테헤란로 231,www.krafton.com,www.krafton.com,02-6250-0807,,5821,20070326,12,259960,22
000,정상,01234297,미원스페셜티케미칼(주),"Miwon Specialty Chemical Co., Ltd.",미원에스씨,268280,"배원, 김태준(각자대표)",Y,2101110123944,7788700797,전라북도 완주군 봉동읍 완주산단1로 167,www.miramer.co.kr,,063-260-1500,031-471-4334,201,20170501,12,268280,23
000,정상,01350869,(주)우리금융지주,Woori Financial Group Inc.,우리금융지주,316140,임종룡,Y,1101116981206,3988701116,서울특별시 중구 소공로 51,www.woorifg.com/,,02-2125-2000,0505-001-0454,64992,20190111,12,316140,24
000,정상,01760738,OCI(주),OCI Company Ltd.,OCI,456040,김유신,Y,1101118626793,3288802675,서울특별시 중구 소공로 94 OCI빌딩,www.oci.co.kr,,02-727-9500,,20129,20230502,12,456040,25
000,정상,00136378,(주)신세계,SHINSEGAE Inc.,신세계,004170,박주형,Y,1101110028848,2018132195,서울특별시 중구  소공로 63 (충무로1가) 신세계백화점건물 (주)신세계,www.shinsegae.com,www.shinsegae.com/company/ir-ko/corporate-governance.do#direct_move,02-727-1234,02-727-1899,47111,19551209,12,004170,26
000,정상,00255619,(주)강원랜드,"Kangwon Land, Inc.",강원랜드,035250,남한규,Y,1449110001666,2258110770,강원도 정선군 사북읍 하이원길 265 강원랜드,kangwonland.high1.com ,http://kangwonland.high1.com,033-590-7700,033-590-3200,91249,19980629,12,035250,27
000,정상,00105952,(주)LS,LS Corp.,LS,006260,명노현,Y,1101110003965,1168119007,서울특별시 용산구 한강대로 92 LS용산타워 -,www.lsholdings.co.kr,,02-2189-9988,02)2189-9759,64992,19620515,12,006260,28
000,정상,00126308,삼성이앤에이(주),"SAMSUNG E&A CO.,LTD",삼성E&A,028050,남궁홍,Y,1101110240509,1208156184,서울특별시 강동구 상일동 500 삼성 GEC,www.samsungena.com,,02-2053-3000,02-3458-4090,72129,19781019,12,028050,29
000,정상,00132637,동원시스템즈(주),Dongwon Systems Corporation,동원시스템즈,014820,"조점근, 정용욱, 신동만, 윤성노",Y,1341110011712,1238115163,충청남도 아산시 둔포면 아산밸리동로 100 -,dongwonsystems.com/,,02-589-4700,02-589-4760,222,19800510,12,014820,30
