ticker,corp_code,rcept_no,report_nm,rcept_dt,document_path,text_length,fetch_error,backlog_mentions,backlog_evidence,new_orders_mentions,new_orders_evidence,segment_sales_mentions,segment_sales_evidence,net_debt_mentions,net_debt_evidence,ebitda_mentions,ebitda_evidence,nav_mentions,nav_evidence,guidance_mentions,guidance_evidence,margin_risk_mentions,margin_risk_evidence,analyst_note_readiness
000120,00113410,20260515002802,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/000120_20260515002802.txt,184860,,0,0,127,3,81,3,266,3,68,3,354,3,28,3,27,3,0.857
000210,00109693,20260515002257,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/000210_20260515002257.txt,325082,,21,3,293,3,61,3,241,3,93,3,639,3,98,3,226,3,1.0
000660,00164779,20260515002287,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/000660_20260515002287.txt,230874,,0,0,179,3,23,3,324,3,51,3,831,3,50,3,142,3,0.857
000990,00160843,20260601001661,[기재정정]사업보고서 (2025.12),20260601,data/raw/dart/top30/documents/000990_20260601001661.txt,325861,,32,3,334,3,31,3,448,3,131,3,991,3,86,3,451,3,1.0
004000,00157681,20260515001167,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/004000_20260515001167.txt,155412,,0,0,76,3,45,3,51,3,79,3,386,3,48,3,79,3,0.857
004170,00136378,20260515001886,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/004170_20260515001886.txt,233496,,0,0,279,3,38,3,468,3,96,3,702,3,38,3,262,3,0.857
005380,00164742,20260515002418,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/005380_20260515002418.txt,333023,,14,3,185,3,24,3,458,3,102,3,910,3,71,3,271,3,1.0
005930,00126380,20260515002181,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/005930_20260515002181.txt,396541,,4,2,131,3,38,3,218,3,108,3,894,3,54,3,181,3,1.0
006260,00105952,20260527000198,[기재정정]분기보고서 (2026.03),20260527,data/raw/dart/top30/documents/006260_20260527000198.txt,300146,,8,3,662,3,213,3,438,3,77,3,746,3,70,3,221,3,1.0
009150,00126371,20260515002842,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/009150_20260515002842.txt,196491,,0,0,115,3,75,3,162,3,87,3,746,3,28,3,214,3,0.857
011070,00105961,20260514001513,[기재정정]분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/011070_20260514001513.txt,178780,,4,2,166,3,50,3,292,3,65,3,577,3,46,3,229,3,1.0
014820,00132637,20260514001084,분기보고서 (2026.03),20260514,data/raw/dart/top30/documents/014820_20260514001084.txt,200724,,0,0,122,3,56,3,304,3,53,3,417,3,51,3,40,3,0.857
028050,00126308,20260515001907,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/028050_20260515001907.txt,286594,,41,3,1119,3,36,3,97,3,128,3,1240,3,33,3,242,3,1.0
034730,00181712,20260515001990,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/034730_20260515001990.txt,889229,,33,3,2115,3,256,3,1303,3,110,3,1260,3,295,3,552,3,1.0
035250,00255619,20260515001122,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/035250_20260515001122.txt,204441,,0,0,104,3,21,3,142,3,117,3,317,3,42,3,163,3,0.857
047040,00124540,20260515001883,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/047040_20260515001883.txt,377453,,59,3,683,3,18,3,380,3,129,3,949,3,62,3,281,3,1.0
066570,00401731,20260706000276,[기재정정]사업보고서 (2025.12),20260706,data/raw/dart/top30/documents/066570_20260706000276.txt,972723,,14,3,788,3,113,3,499,3,195,3,1594,3,245,3,526,3,1.0
071050,00432102,20260515002256,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/071050_20260515002256.txt,538424,,17,3,209,3,23,3,1398,3,53,3,922,3,24,3,361,3,1.0
073240,00481454,20260514001443,분기보고서 (2026.03),20260514,data/raw/dart/top30/documents/073240_20260514001443.txt,123984,,0,0,96,3,12,3,186,3,84,3,231,3,11,3,176,3,0.857
081660,00195229,20260515001935,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/081660_20260515001935.txt,123655,,0,0,81,3,29,3,110,3,80,3,354,3,35,3,59,3,0.857
096770,00631518,20260515001455,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/096770_20260515001455.txt,484306,,3,2,876,3,90,3,946,3,101,3,1297,3,123,3,488,3,1.0
138930,00858364,20260515002476,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/138930_20260515002476.txt,460756,,3,3,179,3,40,3,370,3,30,3,795,3,81,3,311,3,1.0
139130,00878915,20260515002105,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/139130_20260515002105.txt,408027,,0,0,210,3,33,3,400,3,23,3,713,3,98,3,478,3,0.857
161890,00939331,20260514000877,분기보고서 (2026.03),20260514,data/raw/dart/top30/documents/161890_20260514000877.txt,211169,,4,1,228,3,40,3,228,3,92,3,413,3,34,3,141,3,1.0
175330,00980122,20260515002210,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/175330_20260515002210.txt,660946,,7,3,426,3,28,3,620,3,109,3,1149,3,113,3,512,3,1.0
259960,00760971,20260515002756,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/259960_20260515002756.txt,342618,,0,0,439,3,25,3,84,3,80,3,852,3,106,3,105,3,0.857
268280,01234297,20260515000421,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/268280_20260515000421.txt,151820,,0,0,41,3,17,3,97,3,109,3,321,3,14,3,154,3,0.857
316140,01350869,20260515002805,분기보고서 (2026.03),20260515,data/raw/dart/top30/documents/316140_20260515002805.txt,566659,,2,2,843,3,22,3,633,3,49,3,1513,3,105,3,918,3,1.0
402340,01596425,20260514001477,분기보고서 (2026.03),20260514,data/raw/dart/top30/documents/402340_20260514001477.txt,175032,,0,0,122,3,22,3,95,3,42,3,624,3,94,3,135,3,0.857
456040,01760738,20260514000959,분기보고서 (2026.03),20260514,data/raw/dart/top30/documents/456040_20260514000959.txt,300285,,0,0,227,3,27,3,276,3,231,3,525,3,41,3,329,3,0.857
