rank,ticker,name,corp_code,company_ok,filings_count,accounts_count,error
1,000660,에스케이하이닉스(주),00164779,True,10,120,
2,011070,엘지이노텍(주),00105961,True,15,120,
3,009150,삼성전기(주),00126371,True,11,120,
4,047040,(주)대우건설,00124540,True,12,120,
5,081660,(주)미스토홀딩스,00195229,True,11,124,
6,005930,삼성전자(주),00126380,True,10,120,
7,402340,에스케이스퀘어(주),01596425,True,13,128,
8,138930,(주)BNK금융지주,00858364,True,10,136,
9,000990,(주)디비하이텍,00160843,True,12,120,
10,034730,에스케이(주),00181712,True,10,124,
11,071050,한국투자금융지주(주),00432102,True,15,154,
12,175330,(주)JB금융지주,00980122,True,12,136,
13,000210,디엘(주),00109693,True,12,120,
14,139130,(주)아이엠금융지주,00878915,True,15,148,
15,096770,에스케이이노베이션(주),00631518,True,10,120,
16,161890,한국콜마(주),00939331,True,11,120,
17,000120,씨제이대한통운(주),00113410,True,12,120,
18,005380,현대자동차(주),00164742,True,12,120,
19,004000,롯데정밀화학(주),00157681,True,13,120,
20,066570,엘지전자(주),00401731,True,11,120,
21,073240,금호타이어(주),00481454,True,11,120,
22,259960,(주)크래프톤,00760971,True,11,128,
23,268280,미원스페셜티케미칼(주),01234297,True,10,120,
24,316140,(주)우리금융지주,01350869,True,13,133,
25,456040,오씨아이(주),01760738,True,10,120,
26,004170,(주)신세계,00136378,True,10,120,
27,035250,(주)강원랜드,00255619,True,10,120,
28,006260,(주)엘에스,00105952,True,15,124,
29,028050,삼성이앤에이(주),00126308,True,13,120,
30,014820,동원시스템즈(주),00132637,True,11,120,
