corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,ticker,rank
00164779,SK하이닉스,000660,Y,사업보고서 (2023.12),20240319000684,SK하이닉스,20240319,연,000660,1
00164779,SK하이닉스,000660,Y,분기보고서 (2024.03),20240516001638,SK하이닉스,20240516,,000660,1
00164779,SK하이닉스,000660,Y,반기보고서 (2024.06),20240814001887,SK하이닉스,20240814,,000660,1
00164779,SK하이닉스,000660,Y,분기보고서 (2024.09),20241114001712,SK하이닉스,20241114,,000660,1
00164779,SK하이닉스,000660,Y,사업보고서 (2024.12),20250319000665,SK하이닉스,20250319,연,000660,1
00164779,SK하이닉스,000660,Y,분기보고서 (2025.03),20250515002103,SK하이닉스,20250515,,000660,1
00164779,SK하이닉스,000660,Y,반기보고서 (2025.06),20250814003049,SK하이닉스,20250814,,000660,1
00164779,SK하이닉스,000660,Y,분기보고서 (2025.09),20251114001805,SK하이닉스,20251114,,000660,1
00164779,SK하이닉스,000660,Y,사업보고서 (2025.12),20260317000635,SK하이닉스,20260317,연,000660,1
00164779,SK하이닉스,000660,Y,분기보고서 (2026.03),20260515002287,SK하이닉스,20260515,,000660,1
00105961,LG이노텍,011070,Y,사업보고서 (2023.12),20240228008553,LG이노텍,20240228,정연,011070,2
00105961,LG이노텍,011070,Y,[첨부정정]사업보고서 (2023.12),20240313000953,LG이노텍,20240313,연,011070,2
00105961,LG이노텍,011070,Y,분기보고서 (2024.03),20240514001587,LG이노텍,20240514,,011070,2
00105961,LG이노텍,011070,Y,반기보고서 (2024.06),20240814002436,LG이노텍,20240814,정,011070,2
00105961,LG이노텍,011070,Y,[기재정정]반기보고서 (2024.06),20240913000803,LG이노텍,20240913,,011070,2
00105961,LG이노텍,011070,Y,분기보고서 (2024.09),20241113000400,LG이노텍,20241113,,011070,2
00105961,LG이노텍,011070,Y,사업보고서 (2024.12),20250313000721,LG이노텍,20250313,정연,011070,2
00105961,LG이노텍,011070,Y,[기재정정]사업보고서 (2024.12),20250318001384,LG이노텍,20250318,연,011070,2
