rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,ticker,rank,requested_report_name,requested_bsns_year,requested_reprt_code,thstrm_add_amount,frmtrm_add_amount
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,유동자산,제 78 기,2025.12.31 현재,"69,458,073,000,000",제 77 기,2024.12.31 현재,"42,278,887,000,000",제 76 기,2023.12.31 현재,"30,468,100,000,000",1,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,비유동자산,제 78 기,2025.12.31 현재,"106,649,586,000,000",제 77 기,2024.12.31 현재,"77,576,322,000,000",제 76 기,2023.12.31 현재,"69,862,065,000,000",3,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,자산총계,제 78 기,2025.12.31 현재,"176,107,659,000,000",제 77 기,2024.12.31 현재,"119,855,209,000,000",제 76 기,2023.12.31 현재,"100,330,165,000,000",5,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,유동부채,제 78 기,2025.12.31 현재,"37,378,999,000,000",제 77 기,2024.12.31 현재,"24,965,444,000,000",제 76 기,2023.12.31 현재,"21,007,810,000,000",7,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,비유동부채,제 78 기,2025.12.31 현재,"18,061,909,000,000",제 77 기,2024.12.31 현재,"20,974,061,000,000",제 76 기,2023.12.31 현재,"25,818,603,000,000",9,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,부채총계,제 78 기,2025.12.31 현재,"55,440,908,000,000",제 77 기,2024.12.31 현재,"45,939,505,000,000",제 76 기,2023.12.31 현재,"46,826,413,000,000",11,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,자본금,제 78 기,2025.12.31 현재,"3,657,652,000,000",제 77 기,2024.12.31 현재,"3,657,652,000,000",제 76 기,2023.12.31 현재,"3,657,652,000,000",13,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 78 기,2025.12.31 현재,"106,576,548,000,000",제 77 기,2024.12.31 현재,"65,418,061,000,000",제 76 기,2023.12.31 현재,"46,729,313,000,000",17,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,BS,재무상태표,자본총계,제 78 기,2025.12.31 현재,"120,666,751,000,000",제 77 기,2024.12.31 현재,"73,915,704,000,000",제 76 기,2023.12.31 현재,"53,503,752,000,000",21,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,IS,손익계산서,매출액,제 78 기,2025.01.01 ~ 2025.12.31,"97,146,675,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"66,192,960,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"32,765,719,000,000",23,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,IS,손익계산서,영업이익,제 78 기,2025.01.01 ~ 2025.12.31,"47,206,319,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"23,467,319,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-7,730,313,000,000",25,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 78 기,2025.01.01 ~ 2025.12.31,"50,465,552,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"23,885,350,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-11,657,816,000,000",27,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 78 기,2025.01.01 ~ 2025.12.31,"42,947,902,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"19,796,902,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-9,137,547,000,000",29,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 78 기,2025.01.01 ~ 2025.12.31,"42,947,902,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"19,796,902,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-9,137,547,000,000",61,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 78 기,2025.01.01 ~ 2025.12.31,"43,017,348,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"21,044,422,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-9,037,496,000,000",63,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,유동자산,제 78 기,2025.12.31 현재,"46,296,938,000,000",제 77 기,2024.12.31 현재,"27,210,351,000,000",제 76 기,2023.12.31 현재,"17,751,302,000,000",2,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,비유동자산,제 78 기,2025.12.31 현재,"122,606,991,000,000",제 77 기,2024.12.31 현재,"85,202,229,000,000",제 76 기,2023.12.31 현재,"75,198,085,000,000",4,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,자산총계,제 78 기,2025.12.31 현재,"168,903,929,000,000",제 77 기,2024.12.31 현재,"112,412,580,000,000",제 76 기,2023.12.31 현재,"92,949,387,000,000",6,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,유동부채,제 78 기,2025.12.31 현재,"34,536,586,000,000",제 77 기,2024.12.31 현재,"21,577,947,000,000",제 76 기,2023.12.31 현재,"16,197,793,000,000",8,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,비유동부채,제 78 기,2025.12.31 현재,"17,048,781,000,000",제 77 기,2024.12.31 현재,"19,607,546,000,000",제 76 기,2023.12.31 현재,"22,233,272,000,000",10,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,부채총계,제 78 기,2025.12.31 현재,"51,585,367,000,000",제 77 기,2024.12.31 현재,"41,185,493,000,000",제 76 기,2023.12.31 현재,"38,431,065,000,000",12,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,자본금,제 78 기,2025.12.31 현재,"3,657,652,000,000",제 77 기,2024.12.31 현재,"3,657,652,000,000",제 76 기,2023.12.31 현재,"3,657,652,000,000",15,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,이익잉여금,제 78 기,2025.12.31 현재,"106,222,565,000,000",제 77 기,2024.12.31 현재,"65,288,998,000,000",제 76 기,2023.12.31 현재,"48,734,611,000,000",19,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,BS,재무상태표,자본총계,제 78 기,2025.12.31 현재,"117,318,562,000,000",제 77 기,2024.12.31 현재,"71,227,087,000,000",제 76 기,2023.12.31 현재,"54,518,322,000,000",22,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,IS,손익계산서,매출액,제 78 기,2025.01.01 ~ 2025.12.31,"86,852,117,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"55,736,287,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"27,639,997,000,000",24,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,IS,손익계산서,영업이익,제 78 기,2025.01.01 ~ 2025.12.31,"44,007,409,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"21,331,452,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-4,672,124,000,000",26,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 78 기,2025.01.01 ~ 2025.12.31,"50,058,458,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"21,271,179,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-7,578,702,000,000",28,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 78 기,2025.01.01 ~ 2025.12.31,"42,688,817,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"17,640,396,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-4,836,170,000,000",30,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 78 기,2025.01.01 ~ 2025.12.31,"42,688,817,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"17,640,396,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-4,836,170,000,000",62,KRW,000660,1,2025 business report,2025,11011,,
20260317000635,11011,2025,00164779,000660,OFS,재무제표,IS,손익계산서,총포괄손익,제 78 기,2025.01.01 ~ 2025.12.31,"42,616,584,000,000",제 77 기,2024.01.01 ~ 2024.12.31,"17,381,347,000,000",제 76 기,2023.01.01 ~ 2023.12.31,"-4,874,603,000,000",64,KRW,000660,1,2025 business report,2025,11011,,
