date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2007-01-02,005930,,12400,12540,12320,12500,12500,17763250,221507945396,,,,
2007-01-03,005930,,12540,12560,12220,12220,12220,19736500,243910697200,,,,
2007-01-04,005930,,12220,12240,12060,12140,12140,19073200,231243411000,,,,
2007-01-05,005930,,12160,12180,11900,11900,11900,29332450,351558954365,,,,
2007-01-08,005930,,11840,11880,11580,11640,11640,34124700,399138269596,,,,
2007-01-09,005930,,11740,11880,11640,11720,11720,20109850,236616986572,,,,
2007-01-10,005930,,11640,11680,11500,11560,11560,26128800,301926995000,,,,
2007-01-11,005930,,11580,11760,11560,11640,11640,30652000,357578641808,,,,
2007-01-12,005930,,11800,12120,11700,12060,12060,41304250,494606877558,,,,
2007-01-15,005930,,12240,12300,12140,12240,12240,33675300,412499517740,,,,
2007-01-16,005930,,12300,12300,12220,12260,12260,15522550,190139886000,,,,
2007-01-17,005930,,12200,12200,11940,12040,12040,24904200,300269684200,,,,
2007-01-18,005930,,11980,11980,11780,11900,11900,21762950,259022693010,,,,
2007-01-19,005930,,11760,11760,11580,11700,11700,37225100,434524501920,,,,
2007-01-22,005930,,11700,11860,11660,11820,11820,21204000,249438579486,,,,
2007-01-23,005930,,11820,12000,11760,11920,11920,25773700,306355576780,,,,
2007-01-24,005930,,12000,12080,11980,12020,12020,14256800,171445091180,,,,
2007-01-25,005930,,12120,12160,12040,12060,12060,11798550,142434901744,,,,
2007-01-26,005930,,12000,12000,11740,11740,11740,38498250,456113442210,,,,
2007-01-29,005930,,11800,11820,11540,11560,11560,29769500,346747497810,,,,
2007-01-30,005930,,11640,11720,11500,11660,11660,21373950,248100570460,,,,
2007-01-31,005930,,11700,11700,11500,11580,11580,18773050,217572342622,,,,
2007-02-01,005930,,11520,11680,11520,11600,11600,20379600,236514084415,,,,
2007-02-02,005930,,11660,11820,11600,11740,11740,38354500,449967765558,,,,
2007-02-05,005930,,11780,11800,11660,11720,11720,24227700,284140256000,,,,
2007-02-06,005930,,11700,11760,11660,11740,11740,14804600,173293383000,,,,
2007-02-07,005930,,11760,11780,11600,11720,11720,21392150,250194306270,,,,
2007-02-08,005930,,11760,11800,11600,11620,11620,25787500,300507793000,,,,
2007-02-09,005930,,11580,11720,11580,11700,11700,15804250,184477002600,,,,
2007-02-12,005930,,11600,11600,11380,11440,11440,46288401,529381837780,,,,
2007-02-13,005930,,11380,11420,11200,11240,11240,39586800,447312847300,,,,
2007-02-14,005930,,11340,11460,11340,11340,11340,31505450,359315500160,,,,
2007-02-15,005930,,11620,11640,11380,11480,11480,31469800,362341995960,,,,
2007-02-16,005930,,11560,11840,11480,11800,11800,42803050,502200656892,,,,
2007-02-20,005930,,11900,12040,11760,12000,12000,23313850,278415344579,,,,
2007-02-21,005930,,12040,12240,12000,12120,12120,27692600,336434008827,,,,
2007-02-22,005930,,12120,12240,12040,12040,12040,18457650,224220062600,,,,
2007-02-23,005930,,12060,12080,11800,11860,11860,26444100,314517921300,,,,
2007-02-26,005930,,11740,11780,11580,11660,11660,29442950,343466202200,,,,
2007-02-27,005930,,11720,11720,11500,11620,11620,22474550,261031450000,,,,
2007-02-28,005930,,11160,11400,11160,11340,11340,45389951,513016143270,,,,
2007-03-02,005930,,11220,11440,11180,11320,11320,33706850,382094391096,,,,
2007-03-05,005930,,11240,11440,11220,11260,11260,27584250,311734817230,,,,
2007-03-06,005930,,11300,11580,11300,11380,11380,29054100,332649190960,,,,
2007-03-07,005930,,11500,11520,11300,11400,11400,26657400,303847762000,,,,
2007-03-08,005930,,11400,11640,11340,11480,11480,29056600,334148128000,,,,
2007-03-09,005930,,11660,11780,11600,11720,11720,31249050,365719165500,,,,
2007-03-12,005930,,11800,12040,11800,12040,12040,31695350,379678182000,,,,
2007-03-13,005930,,12080,12080,11860,12000,12000,16828000,201450525780,,,,
2007-03-14,005930,,11720,11760,11600,11680,11680,25074450,293120946809,,,,
2007-03-15,005930,,11700,11840,11680,11720,11720,24583750,289449427321,,,,
2007-03-16,005930,,11720,11860,11620,11780,11780,14516550,170475031000,,,,
2007-03-19,005930,,11740,11800,11640,11740,11740,12555900,147130990700,,,,
2007-03-20,005930,,11700,11740,11500,11580,11580,21549850,249957887508,,,,
2007-03-21,005930,,11620,11700,11500,11580,11580,12559600,145645288866,,,,
2007-03-22,005930,,11700,11780,11640,11640,11640,22119900,258847764800,,,,
2007-03-23,005930,,11680,11720,11520,11600,11600,17271600,200593155000,,,,
2007-03-26,005930,,11640,11700,11560,11680,11680,15899800,185094350240,,,,
2007-03-27,005930,,11640,11660,11540,11600,11600,18780200,217762301561,,,,
2007-03-28,005930,,11600,11600,11400,11440,11440,22607300,259389349000,,,,
2007-03-29,005930,,11300,11480,11280,11380,11380,30754300,348879230180,,,,
2007-03-30,005930,,11380,11380,11240,11260,11260,22767000,257208757350,,,,
