date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2007-01-02,090430,,57414,57514,56114,56314,56314,38000,2157354000,,,,
2007-01-03,090430,,56514,57014,53813,53813,53813,107961,5949857702,,,,
2007-01-04,090430,,55414,55414,52413,52513,52513,158538,8485074000,,,,
2007-01-05,090430,,52713,52713,51313,52513,52513,261382,13431149843,,,,
2007-01-08,090430,,52713,53813,52513,53413,53413,51266,2728395773,,,,
2007-01-09,090430,,53513,55214,53013,53413,53413,59764,3238330000,,,,
2007-01-10,090430,,53313,54014,51613,52913,52913,90056,4717900000,,,,
2007-01-11,090430,,52913,54414,52913,54414,54414,58084,3129657000,,,,
2007-01-12,090430,,53613,55214,53613,55014,55014,65722,3593097000,,,,
2007-01-15,090430,,54114,55214,54114,55214,55214,52616,2880207000,,,,
2007-01-16,090430,,54814,55214,54514,54814,54814,38559,2115030000,,,,
2007-01-17,090430,,54314,55514,54314,55514,55514,93125,5108179000,,,,
2007-01-18,090430,,54514,55514,54514,55514,55514,69821,3841574000,,,,
2007-01-19,090430,,54514,55114,54514,55014,55014,24213,1329752000,,,,
2007-01-22,090430,,55014,55414,54714,55014,55014,43068,2365437000,,,,
2007-01-23,090430,,55314,55614,55014,55414,55414,116089,6426408000,,,,
2007-01-24,090430,,55714,55914,54814,55914,55914,78509,4352191000,,,,
2007-01-25,090430,,55914,56214,55414,56214,56214,262341,14645847000,,,,
2007-01-26,090430,,56214,56314,56114,56214,56214,117249,6590528000,,,,
2007-01-29,090430,,56214,56214,55114,56014,56014,55025,3059384000,,,,
2007-01-30,090430,,55214,56014,55114,56014,56014,75390,4181600000,,,,
2007-01-31,090430,,56114,56214,55414,56214,56214,36250,2027733000,,,,
2007-02-01,090430,,56214,56514,55014,55514,55514,118629,6599976926,,,,
2007-02-02,090430,,55214,55614,54314,55214,55214,319626,17606315580,,,,
2007-02-05,090430,,54814,55714,54814,55214,55214,225461,12502801000,,,,
