date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2010-01-04,000080,,40100,40300,39600,39950,39950,100021,3984604050,,,,
2010-01-05,000080,,39900,40200,39650,40200,40200,116732,4667762000,,,,
2010-01-06,000080,,40200,40200,39150,39150,39150,193081,7621324550,,,,
2010-01-07,000080,,39650,39650,37500,37600,37600,354686,13505883000,,,,
2010-01-08,000080,,37700,38100,36900,36900,36900,210028,7831937700,,,,
2010-01-11,000080,,36900,37300,36600,37300,37300,117544,4357515600,,,,
2010-01-12,000080,,36950,38000,36950,37250,37250,135085,5039598250,,,,
2010-01-13,000080,,37250,37950,37000,37700,37700,69886,2616171300,,,,
2010-01-14,000080,,37700,38000,37500,37800,37800,75760,2863291500,,,,
2010-01-15,000080,,37800,38000,37400,37650,37650,102394,3854566850,,,,
2010-01-18,000080,,37600,37650,37150,37600,37600,90677,3391980700,,,,
2010-01-19,000080,,37700,37950,37550,37800,37800,84740,3201475900,,,,
2010-01-20,000080,,38000,38550,37850,38150,38150,123018,4704987550,,,,
2010-01-21,000080,,38400,38750,38150,38650,38650,94639,3635935850,,,,
2010-01-22,000080,,38550,38550,37850,38300,38300,87680,3342743400,,,,
2010-01-25,000080,,37800,38300,37700,38050,38050,46606,1776238350,,,,
2010-01-26,000080,,38250,38300,37950,38100,38100,71606,2728397100,,,,
2010-01-27,000080,,38100,38400,37850,37900,37900,47917,1819984200,,,,
2010-01-28,000080,,37900,38400,37500,37900,37900,77479,2940459100,,,,
2010-01-29,000080,,37700,38100,37500,38050,38050,84638,3203662250,,,,
2010-02-01,000080,,37700,38350,37700,38100,38100,45244,1723940250,,,,
2010-02-02,000080,,38300,38300,37850,38050,38050,67124,2555214800,,,,
2010-02-03,000080,,38300,38350,37900,38050,38050,66640,2534730450,,,,
2010-02-04,000080,,38050,39600,37900,39000,39000,197418,7698086000,,,,
2010-02-05,000080,,38400,38600,37650,37700,37700,99833,3796298100,,,,
2010-02-08,000080,,37400,37400,34650,35000,35000,192381,6871864500,,,,
2010-02-09,000080,,34950,34950,32500,33750,33750,305205,10201116750,,,,
2010-02-10,000080,,34000,34750,33800,34550,34550,104980,3612089000,,,,
2010-02-11,000080,,34300,35700,34300,35450,35450,66061,2322943450,,,,
2010-02-12,000080,,35150,36000,35000,36000,36000,28458,1001030400,,,,
2010-02-16,000080,,35350,36950,35300,36000,36000,64105,2309103500,,,,
2010-02-17,000080,,36000,36400,35600,36000,36000,50017,1793590750,,,,
2010-02-18,000080,,35850,36550,35850,36400,36400,59833,2173421050,,,,
2010-02-19,000080,,36500,37100,36400,36900,36900,129199,4761361100,,,,
2010-02-22,000080,,37000,37150,36150,36250,36250,84115,3071160450,,,,
2010-02-23,000080,,36100,36500,35600,36000,36000,66178,2382409000,,,,
2010-02-24,000080,,35850,36150,35500,36000,36000,53185,1908148500,,,,
2010-02-25,000080,,36000,36200,35300,35400,35400,66306,2364424900,,,,
2010-02-26,000080,,35800,35950,35300,35550,35550,49959,1776709950,,,,
2010-03-02,000080,,35450,35800,34850,35000,35000,179769,6318910200,,,,
2010-03-03,000080,,35000,36150,35000,35300,35300,73695,2624234500,,,,
2010-03-04,000080,,35800,35900,35000,35000,35000,127771,4494041000,,,,
2010-03-05,000080,,35100,35400,35000,35000,35000,115364,4042461500,,,,
2010-03-08,000080,,35350,35400,35000,35150,35150,81514,2864820600,,,,
2010-03-09,000080,,35400,36450,35100,36250,36250,79965,2869212250,,,,
2010-03-10,000080,,36250,36300,35900,36100,36100,61602,2224314700,,,,
2010-03-11,000080,,36100,36300,36000,36000,36000,50838,1839370000,,,,
2010-03-12,000080,,36050,36950,36050,36950,36950,51852,1899860000,,,,
2010-03-15,000080,,37100,37100,36350,36800,36800,37435,1381223000,,,,
2010-03-16,000080,,36600,37000,36600,36800,36800,13785,506159500,,,,
2010-03-17,000080,,36950,36950,36050,36200,36200,39834,1443557300,,,,
2010-03-18,000080,,36200,36300,35850,35900,35900,36920,1331013300,,,,
2010-03-19,000080,,35900,35950,35550,35800,35800,32308,1154359400,,,,
2010-03-22,000080,,35600,35750,35350,35400,35400,21902,776143300,,,,
2010-03-23,000080,,35450,35450,35000,35150,35150,49989,1755519600,,,,
2010-03-24,000080,,35100,35500,35100,35450,35450,22002,777161600,,,,
2010-03-25,000080,,35600,35600,35050,35200,35200,28812,1015353400,,,,
2010-03-26,000080,,35250,35450,35100,35200,35200,28238,993832300,,,,
2010-03-29,000080,,35100,35700,34950,35600,35600,42780,1514016100,,,,
2010-03-30,000080,,35550,35700,35300,35600,35600,20456,725956600,,,,
2010-03-31,000080,,35450,35700,35400,35550,35550,21159,752213400,,,,
2010-04-01,000080,,35200,35500,35100,35400,35400,37747,1331514300,,,,
2010-04-02,000080,,35400,35400,35150,35200,35200,28643,1008972100,,,,
2010-04-05,000080,,35250,35250,34800,34900,34900,34712,1212966800,,,,
2010-04-06,000080,,34900,35300,34900,35100,35100,35716,1250475700,,,,
2010-04-07,000080,,35300,35400,35050,35250,35250,31226,1100501650,,,,
2010-04-08,000080,,35250,35500,35150,35500,35500,51911,1834290400,,,,
2010-04-09,000080,,35700,36050,35500,35850,35850,58223,2084805650,,,,
2010-04-12,000080,,35950,36250,35800,36250,36250,46246,1663818500,,,,
2010-04-13,000080,,36400,36400,35950,36200,36200,47398,1712034100,,,,
2010-04-14,000080,,36050,36350,36000,36300,36300,28383,1025478900,,,,
2010-04-15,000080,,36300,36750,36100,36700,36700,56073,2050478600,,,,
2010-04-16,000080,,36650,36800,36600,36800,36800,55384,2031147700,,,,
