ticker,name,analyst_sector,valuation_family,sector_source,confidence,kospi200_sector,dart_sector,dart_industry_code,ts2000_sector,override_sector,override_note
000210,DL,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,Energy & Chemicals,20111,,,
000720,Hyundai E&C,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
002380,KCC,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
028050,Samsung E&A,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,72129,,,
028260,Samsung C&T,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
047040,Daewoo E&C,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,Construction & Infrastructure,41112,,,
051600,KEPCO KPS,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
052690,KEPCO E&C,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
300720,Hanil Cement,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
375500,DL E&C,Construction & Infrastructure,pbr_backlog_margin,kospi200_constituent,0.85,Constructions,,,,,
000100,Yuhan,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
003090,Daewoong,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
006280,Green Cross,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
008930,Hanmi Science,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
009420,Hanall Biopharma,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
0126Z0,Samsung Epis,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
068270,Celltrion,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
069620,Daewoong Pharmaceutical,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
128940,Hanmi Pharm,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
137310,SD Biosensor,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
185750,Chong Kun Dang,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
207940,Samsung Biologics,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
302440,SK Bioscience,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
326030,SK Biopharm,Consumer & Healthcare,per_growth_pipeline,kospi200_constituent,0.85,Health Care,,,,,
000080,HiteJinro,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
000240,Hankook & Company,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
000270,Kia,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
001040,CJ,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
001680,Daesang,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
001800,Orion Holdings,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
002790,Amorepacific Holdings,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
003230,Samyang Foods,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
004170,Shinsegae,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,Consumer & Retail,47111,,,
004370,Nongshim,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
004990,Lotte,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
005300,Lotte Chilsung,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
005380,Hyundai Motor,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,Industrials,30121,,,
005850,SL,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
006040,Dongwon Industries,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
007070,GS Retail,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
007310,Ottogi,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
007340,DN Automotive,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
008770,Hotel Shilla,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
009240,Hanssem,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
009970,Youngone Holdings,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
011210,Hyundai WIA,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
012330,Hyundai Mobis,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
015760,KEPCO,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
018880,Hanon Systems,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
021240,Coway,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
023530,Lotte Shopping,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
026960,Dongsuh,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
033780,KT&G,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
034230,Paradise,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
035250,Kangwon Land,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,91249,,,
036460,Korea Gas,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
051900,LG H&H,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
069960,Hyundai Department Store,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
071320,Korea District Heating,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
073240,Kumho Tire,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,Energy & Chemicals,221,,,
081660,Misto,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,Consumer & Retail,464,,,
090430,Amorepacific,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
097950,CJ CheilJedang,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
111770,Youngone,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
139480,Emart,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
161390,Hankook,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
161890,Kolmar Korea,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,Energy & Chemicals,20423,,,
180640,Hanjin KAL,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
192080,DoubleU Games,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
192820,Cosmax,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
204320,HL Mando,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
271560,Orion,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
278470,APR,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
280360,Lotte Wellfood,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
282330,BGF Retail,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
383220,F&F,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Discretionary,,,,,
483650,d'Alba Global,Consumer & Retail,per_pbr_margin,kospi200_constituent,0.85,Consumer Staples,,,,,
000880,Hanwha,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
002840,Miwon Commercial,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
003240,Taekwang Industrial,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
004000,Lotte Fine Chemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,Energy & Chemicals,20119,,,
005420,Cosmo Chemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
006650,Korea Petrochemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
009830,Hanwha Solutions,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
010060,OCI Holdings,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
010950,S-Oil,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
011170,Lotte Chemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
011780,Kumho Petrochemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
011790,SKC,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
014680,Hansol Chemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
017960,Hankuk Carbon,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
034730,SK,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,Financials,64992,,,
051910,LG Chem,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
069260,TKG Huchems,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
078930,GS,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
093370,Foosung,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
096770,SK Innovation,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,Energy & Chemicals,192,,,
120110,Kolon Industries,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
267250,HD Hyundai,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
268280,Miwon Specialty Chemical,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,Energy & Chemicals,201,,,
285130,SK Chemicals,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
298020,Hyosung TNC,Energy & Chemicals,ev_ebitda_spread_cycle,kospi200_constituent,0.85,Energy & Chemicals,,,,,
