signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,turnover,transaction_cost_bps
2023-07-31,2023-08-01,2023-08-31,22,"022100,007660,047050,042700,005420,003670,298040,042660,005490,010140,010120,267260,082740,009540,241560,001040,028050,012450,071970,023530,008930,006260,111770,329180,009420,000210,007340,001430,073240,003090",30,1.0,10.0
2023-08-31,2023-09-01,2023-09-27,19,"022100,007660,042700,047050,298040,003670,192820,010120,005490,071970,010140,009540,069960,003090,042660,241560,017800,267260,003230,161890,001040,352820,082740,073240,069620,023530,009420,009240,030200,035250",30,0.3333333333333333,10.0
2023-09-27,2023-10-04,2023-10-31,19,"022100,007660,047050,298040,042700,307950,267260,003230,010140,071970,017800,009420,192820,010120,009540,005490,003090,000100,003030,138040,326030,042660,069620,003670,267270,030000,069960,079550,073240,082740",30,0.26666666666666666,10.0
2023-10-31,2023-11-01,2023-11-30,22,"007660,022100,042700,298040,192820,071970,047050,003230,267260,003030,161890,000660,111770,280360,003090,010140,030000,009970,175330,002030,030200,009420,139130,001680,032830,185750,088350,000810,018260,009540",30,0.5,10.0
2023-11-30,2023-12-01,2023-12-28,19,"298040,022100,071970,007660,042700,047050,003230,267260,307950,009420,000120,018260,005490,010140,185750,003090,280360,006650,192820,175330,139130,000210,079550,009540,000240,010120,030000,090430,082740,001040",30,0.36666666666666664,10.0
2023-12-28,2024-01-02,2024-01-31,22,"003230,009420,307950,022100,000120,003090,042700,185750,079550,090430,071970,047050,001040,298040,180640,021240,138040,175330,000210,192820,018260,002030,267260,034730,097950,280360,161390,035720,001680,028260",30,0.3333333333333333,10.0
2024-01-31,2024-02-01,2024-02-29,19,"022100,042700,003090,007660,000120,009420,001040,180640,003230,000210,267260,003240,185750,280360,021240,307950,298040,028260,251270,079550,073240,161390,375500,034730,000240,138040,035720,068270,071320,175330",30,0.26666666666666666,10.0
2024-02-29,2024-03-04,2024-03-29,20,"267260,022100,042700,012450,007660,079550,138040,000120,009420,003090,001040,071320,402340,000270,251270,259960,180640,073240,175330,457190,028260,298040,000240,000210,015760,024110,086790,000660,161390,021240",30,0.3,10.0
2024-03-29,2024-04-01,2024-04-30,21,"267260,042700,007660,079550,012450,402340,298040,138040,259960,000660,022100,009420,272210,073240,003090,000120,028260,001040,251270,103140,071320,032830,161390,064350,000270,002030,000240,180640,024110,015760",30,0.16666666666666666,10.0
2024-04-30,2024-05-02,2024-05-31,20,"267260,042700,007660,298040,010120,012450,000150,079550,457190,402340,103140,138040,001040,082740,064350,000660,003230,272210,000120,022100,002030,028260,071970,161390,009540,454910,039490,259960,073240,014820",30,0.3333333333333333,10.0
2024-05-31,2024-06-03,2024-06-28,19,"267260,042700,010120,298040,003230,007660,000150,071970,012450,006260,103140,079550,071320,192820,022100,082740,001040,402340,138040,064350,002030,105560,009540,086790,039490,000660,001440,175330,024110,000270",30,0.3,10.0
2024-06-28,2024-07-01,2024-07-31,23,"003230,267260,042700,010120,298040,000150,007660,012450,192820,001440,071970,103140,402340,071320,006260,082740,011790,002030,064350,000660,138040,105560,009540,079550,000810,036460,005380,086790,000270,175330",30,0.13333333333333333,10.0
2024-07-31,2024-08-01,2024-08-30,21,"003230,267260,042700,010120,000150,012450,036460,071970,079550,402340,298040,105560,009540,011790,000660,001040,002030,280360,071320,055550,192820,086790,103140,329180,138040,000810,032830,001680,064350,000100",30,0.23333333333333334,10.0
2024-08-30,2024-09-02,2024-09-30,18,"003230,267260,010120,012450,036460,009540,079550,103140,071970,000100,042700,329180,064350,000150,259960,055550,402340,011790,105560,298040,082740,000660,001040,280360,138930,002030,010140,001680,086790,003090",30,0.16666666666666666,10.0
2024-09-30,2024-10-02,2024-10-31,20,"003230,267260,036460,010120,071970,000100,012450,259960,064350,103140,009540,079550,298040,042700,071320,161890,329180,402340,010130,003090,138040,280360,011790,086280,055550,021240,180640,082740,001680,192080",30,0.26666666666666666,10.0
2024-10-31,2024-11-01,2024-11-29,21,"003230,000100,012450,267260,000150,079550,011790,010130,259960,036460,298040,180640,009540,064350,003090,138040,103140,326030,006280,086280,329180,071970,161890,175330,030200,069620,006800,192080,035250,207940",30,0.3,10.0
2024-11-29,2024-12-02,2024-12-30,20,"000100,012450,010130,064350,009540,079550,267260,329180,003230,036460,175330,138040,071970,000150,030200,450080,006280,180640,086280,071320,105560,207940,003090,032830,035250,026960,326030,033780,015760,051600",30,0.26666666666666666,10.0
2024-12-30,2025-01-02,2025-01-31,18,"010130,012450,000100,009540,329180,267260,003230,064350,138040,000150,071970,298040,006280,175330,207940,003090,326030,138930,030200,026960,105560,033780,010140,035250,111770,051600,272210,035420,069620,032830",30,0.23333333333333334,10.0
2025-01-31,2025-02-03,2025-02-28,20,"000150,010130,267260,329180,003230,012450,064350,071970,082740,000100,009540,298040,138040,175330,138930,010120,042660,030200,035250,051600,259960,207940,035420,010140,026960,024110,017960,111770,017800,086280",30,0.26666666666666666,10.0
2025-02-28,2025-03-04,2025-03-31,20,"000150,003230,012450,010120,082740,042660,298040,267260,329180,064350,010130,352820,272210,000100,079550,071970,034020,192820,377300,138040,006040,175330,457190,003030,011790,010140,086280,035420,030200,017960",30,0.3333333333333333,10.0
2025-03-31,2025-04-01,2025-04-30,22,"064350,012450,000150,003230,042660,082740,329180,010120,071970,272210,352820,298040,192820,001680,047810,017960,079550,010140,000880,138040,026960,069960,271560,267270,010130,006040,003030,375500,034020,111770",30,0.3,10.0
