signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"000670,003670,010060,028050,011780,000150,005420,006260,069260,011200,086280,009540,039490,010140,003490,093370,010130,009420,051910,017800,001440,034020,042660,004020,000210,029780,096770,006650,007310,012450",30,1.0,0.0,bull,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"011780,006260,000670,003670,005420,069260,000150,010060,011200,051910,004020,001440,009540,006650,009420,017800,010130,010140,028050,004000,039490,003490,002030,086280,009830,000210,005850,093370,002380,003030",30,1.0,0.0,bull,0.2,10.0
2007-09-28,2007-10-01,2007-10-31,22,"003670,009420,010060,000670,006260,005420,009540,004000,000150,006650,002380,004020,010140,011780,086280,003240,028050,001440,051910,000210,011200,007340,017800,009150,000880,005850,010120,069260,006280,002030",30,1.0,0.0,bull,0.2,10.0
2007-10-31,2007-11-01,2007-11-30,22,"009420,000150,086280,001440,003670,006260,010060,004020,004000,003550,009540,051910,034020,010120,035420,001040,002380,006280,011780,022100,003090,036460,000880,039490,009150,003240,010140,006650,069620,003490",30,1.0,0.0,bull,0.3333333333333333,10.0
2007-11-30,2007-12-03,2007-12-28,18,"003670,001440,009420,010060,000150,010120,006260,008770,036460,003550,003240,051910,069620,006650,003090,001040,034230,035420,005850,000660,034020,004000,000990,007340,007660,009540,008730,006280,024110,012750",30,0.8,0.19999999999999996,neutral,0.36666666666666664,10.0
2007-12-28,2008-01-02,2008-01-31,22,"003670,010060,010120,001440,006260,069620,009420,008770,003090,001040,004020,004000,000880,005850,078930,035420,003490,003550,034230,006650,086280,004990,002380,000720,024110,000150,033780,034020,005830,007340",30,0.8,0.19999999999999996,neutral,0.26666666666666666,10.0
2008-01-31,2008-02-01,2008-02-29,18,"008730,000990,005420,002380,068270,047040,006650,009240,003670,026960,000150,051910,001440,003230,034230,009420,024110,006260,069620,003090,000880,010140,009540,000660,005850,004370,011780,078930,007660,017960",30,0.25,0.75,stress,0.4083333333333333,10.0
2008-02-29,2008-03-03,2008-03-31,21,"000150,002380,034020,006260,003670,001440,009540,008730,005420,000990,009240,006650,069620,000880,051910,068270,007340,003090,026960,036570,034230,010120,005850,010060,003030,028050,003230,011780,010140,047040",30,0.5,0.5,bear,0.18333333333333332,10.0
2008-03-31,2008-04-01,2008-04-30,21,"035420,028670,003670,026960,006650,069620,006040,008730,068270,003090,009240,034230,007340,032640,015760,010130,047040,086790,017670,035720,012330,051910,017960,042700,005850,002380,000670,006260,005490,003030",30,0.5,0.5,bear,0.23333333333333334,10.0
2008-04-30,2008-05-02,2008-05-30,19,"006040,066970,066570,069620,003670,010060,036460,007340,003090,035420,003550,004020,002840,004000,026960,009240,001440,012450,005380,005930,006260,051910,009150,012330,011200,003030,009970,069260,005850,014680",30,1.0,0.0,bull,0.5333333333333333,10.0
2008-05-30,2008-06-02,2008-06-30,20,"066970,066570,010060,003670,006040,069620,007340,068270,051910,036460,035420,005420,003550,006260,003090,004000,007310,005930,004020,009240,012450,026960,034230,005380,003030,018880,002840,000670,005850,006650",30,1.0,0.0,bull,0.23333333333333334,10.0
2008-06-30,2008-07-01,2008-07-31,23,"068270,066970,006040,026960,003670,035420,034230,007340,003030,006650,069620,008730,051910,009240,010130,002840,001430,012330,007310,014680,066570,005490,005850,015760,032640,018880,004020,003090,036460,004000",30,0.8,0.19999999999999996,neutral,0.3133333333333333,10.0
2008-07-31,2008-08-01,2008-08-29,20,"026960,035420,008730,042700,003670,047040,068270,034230,006040,003030,069620,006650,032640,012330,015760,007340,010130,017670,005850,003090,051910,086790,002840,001430,000670,001680,004370,005490,055550,009240",30,0.5,0.5,bear,0.2833333333333334,10.0
2008-08-29,2008-09-01,2008-09-30,21,"042700,035420,026960,003090,034230,003670,006650,008730,068270,003030,012330,006040,032640,069620,005850,017670,001680,047040,000670,001430,086790,051910,022100,035720,007340,015760,007310,009240,005490,010130",30,0.5,0.5,bear,0.05,10.0
2008-09-30,2008-10-01,2008-10-31,22,"026960,042700,035420,035720,034230,006040,003090,086790,032640,003670,008730,001680,006650,069620,068270,012330,017670,022100,005850,001430,034220,015760,009970,010130,007310,000670,023530,006280,005490,011170",30,0.5,0.5,bear,0.08333333333333333,10.0
2008-10-31,2008-11-03,2008-11-28,20,"003090,035420,035720,042700,069620,001680,023530,006040,007340,010130,086790,026960,005850,034230,017670,030200,005490,055550,034220,032640,002840,035250,014680,005300,033780,002790,003030,078930,005930,003550",30,0.25,0.75,stress,0.23333333333333334,10.0
2008-11-28,2008-12-01,2008-12-30,21,"003090,035420,035720,005850,069620,042700,001680,007340,017670,086790,023530,055550,030200,002840,006040,071050,026960,035250,078930,005930,010130,012330,032640,034230,005490,005300,022100,003550,014680,017800",30,0.25,0.75,stress,0.03333333333333333,10.0
2008-12-30,2009-01-02,2009-01-30,19,"003090,035420,035720,069620,005850,042700,001680,007340,023530,006040,002840,017670,071050,010130,086790,030200,026960,055550,003550,022100,078930,005300,017800,035250,034230,005930,012330,036460,032640,007310",30,0.25,0.75,stress,0.016666666666666666,10.0
2009-01-30,2009-02-02,2009-02-27,20,"068270,035420,000670,066970,003670,026960,003090,032640,039490,034230,006040,051600,007340,069620,035720,030200,036570,008730,007310,010130,004370,005300,009240,017670,002840,036460,005930,005850,009970,011170",30,0.8,0.19999999999999996,neutral,0.375,10.0
2009-02-27,2009-03-02,2009-03-31,22,"003090,035420,035720,069620,010130,005850,006040,003670,007340,042700,036570,034230,030200,055550,003550,026960,022100,023530,039490,011170,001680,035250,071050,078930,005930,086790,012330,005490,007310,014680",30,0.25,0.75,stress,0.38333333333333336,10.0
2009-03-31,2009-04-01,2009-04-30,22,"068270,066970,036570,003670,039490,034230,010130,026960,003230,017960,009970,007660,003090,051910,012330,069620,007340,008930,103140,007310,005300,004370,003030,032640,002840,008730,096770,004000,035720,030200",30,1.0,0.0,bull,0.5166666666666667,10.0
2009-04-30,2009-05-04,2009-05-29,19,"068270,066970,036570,010130,003230,009970,003670,017960,103140,034230,003090,039490,003030,009830,014680,006650,000670,069620,007340,000990,026960,005420,006260,002380,011170,042700,000880,051600,004020,002840",30,1.0,0.0,bull,0.43333333333333335,10.0
2009-05-29,2009-06-01,2009-06-30,22,"068270,066970,036570,010130,017960,006650,000990,003670,103140,014680,003090,012330,009970,009830,011170,003230,034230,011070,007340,035720,028050,051910,002840,002380,006800,039490,004020,005850,000880,006260",30,1.0,0.0,bull,0.23333333333333334,10.0
2009-06-30,2009-07-01,2009-07-31,23,"036570,066970,010130,009970,017960,000990,103140,012330,011070,006400,068270,014680,003670,012450,007660,011170,086280,035720,005420,005380,000270,051910,034230,026960,004000,004020,003090,002840,007340,010120",30,1.0,0.0,bull,0.3333333333333333,10.0
2009-07-31,2009-08-03,2009-08-31,21,"011070,036570,103140,009970,014680,066970,006650,012330,035720,012450,009150,010130,000990,017960,004020,003670,011170,002840,068270,005420,009830,023530,005380,003090,006400,034230,000270,007340,026960,005850",30,1.0,0.0,bull,0.16666666666666666,10.0
2009-08-31,2009-09-01,2009-09-30,22,"006650,011070,103140,004020,014680,011170,036570,009150,006400,009830,005420,012330,017960,000270,035720,010130,005380,005850,023530,012450,003670,000880,039490,003090,029780,000990,009970,051910,068270,009420",30,1.0,0.0,bull,0.16666666666666666,10.0
2009-09-30,2009-10-01,2009-10-30,21,"011070,009150,006400,012330,103140,036570,012450,014680,005380,005850,006650,010130,035720,051910,005420,004020,086280,000270,066970,009970,011170,003670,068270,026960,023530,002030,034230,005930,029780,071970",30,1.0,0.0,bull,0.23333333333333334,10.0
2009-10-30,2009-11-02,2009-11-30,21,"035720,012330,103140,010130,026960,000080,051910,005380,003240,000670,017960,009150,006400,009970,014680,004020,000270,005830,005850,066970,003670,055550,068270,006650,005420,007340,004990,023530,071970,034230",30,0.8,0.19999999999999996,neutral,0.3133333333333333,10.0
