signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,turnover,transaction_cost_bps
2023-01-31,2023-02-01,2023-02-28,20,"011200,007340,137310,011780,007070,000210,071320,000990,004000,003240,192080,005490,028670,103140,000660,023530,003550,006650,030200,006260,032640,285130,001430,005850,004020,268280,010130,033780,000150,375500",30,1.0,10.0
2023-02-28,2023-03-02,2023-03-31,22,"011200,007340,137310,011780,007070,000210,071320,000990,004000,003240,192080,005490,028670,103140,000660,023530,003550,006650,030200,006260,032640,285130,001430,005850,004020,268280,010130,033780,000150,375500",30,0.0,10.0
2023-03-31,2023-04-03,2023-04-28,20,"011200,204320,000990,137310,004000,007660,028670,175330,086280,006260,005940,011780,071050,010950,005850,139480,298050,180640,004020,032640,003240,316140,016360,139130,003490,138930,103140,375500,030200,078930",30,0.5333333333333333,10.0
2023-04-28,2023-05-02,2023-05-31,20,"011200,204320,000990,137310,004000,007660,028670,175330,086280,006260,005940,011780,071050,010950,005850,139480,298050,180640,004020,032640,003240,316140,016360,139130,003490,138930,103140,375500,030200,078930",30,0.0,10.0
2023-05-31,2023-06-01,2023-06-30,21,"011200,204320,000990,137310,004000,007660,028670,175330,086280,006260,005940,011780,071050,010950,005850,139480,298050,180640,004020,032640,003240,316140,016360,139130,003490,138930,103140,375500,030200,078930",30,0.0,10.0
2023-06-30,2023-07-03,2023-07-31,21,"011200,204320,000990,137310,004000,007660,028670,175330,086280,006260,005940,011780,071050,010950,005850,139480,298050,180640,004020,032640,003240,316140,016360,139130,003490,138930,103140,375500,030200,078930",30,0.0,10.0
2023-07-31,2023-08-01,2023-08-31,22,"007660,022100,047050,042700,298040,011200,000990,005490,204320,009540,137310,006260,004000,010950,003240,139480,000210,111770,267260,010120,001040,005850,000660,028670,078930,069960,241560,005940,298050,016360",30,0.4666666666666667,10.0
2023-08-31,2023-09-01,2023-09-27,19,"007660,298040,022100,042700,047050,000990,011200,204320,005490,009540,069960,071970,175330,010950,004000,030200,137310,010120,006260,017800,086280,005850,016360,139480,111770,078930,003240,000210,000660,005940",30,0.16666666666666666,10.0
2023-09-27,2023-10-04,2023-10-31,19,"298040,007660,022100,047050,042700,011200,017800,204320,307950,009540,071970,267260,175330,003230,005490,010950,086280,016360,005940,004000,069960,030200,003030,139130,105560,316140,078930,267270,138930,086790",30,0.3333333333333333,10.0
2023-10-31,2023-11-01,2023-11-30,22,"298040,007660,022100,042700,047050,071970,175330,111770,011200,000660,139130,030200,003230,003030,204320,004000,009970,267260,086280,078930,375500,005940,002030,316140,009540,138930,001680,000210,016360,192820",30,0.26666666666666666,10.0
2023-11-30,2023-12-01,2023-12-28,19,"298040,007660,022100,042700,071970,047050,003230,267260,011200,307950,175330,000120,000990,139130,005490,000210,185750,204320,018260,071050,004000,009540,316140,078930,003490,030200,000240,139480,180640,161390",30,0.4,10.0
2023-12-28,2024-01-02,2024-01-31,22,"003230,022100,000120,042700,307950,298040,003090,185750,047050,175330,180640,011200,071970,001040,000210,021240,079550,071050,137310,139130,002030,161390,018260,090430,139480,078930,030200,055550,001680,007660",30,0.3,10.0
