signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"093370,011200,011780,000670,003670,010060,039490,086280,005420,000150,006260,028050,069260,003490,066970,009540,010130,010140,034020,017800,001440,002030,000210,051910,009150,006800,005380,069620,042660,004020",30,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"011780,000670,006260,093370,011200,005420,003670,000150,069260,010130,010140,001440,009540,051910,039490,004020,009420,004000,006650,010060,009830,000210,003030,028050,017800,003490,003240,002030,002380,086280",30,1.0,0.0,,0.23333333333333334,10.0
2007-09-28,2007-10-01,2007-10-31,22,"009420,003670,000670,006260,010060,005420,004000,009540,000150,010140,006650,002380,011200,004020,011780,001440,003240,000210,086280,039490,009150,051910,028050,007340,010130,003030,010120,009830,000880,042660",30,1.0,0.0,,0.16666666666666666,10.0
2007-10-31,2007-11-01,2007-11-30,22,"009420,000150,001440,086280,003670,006260,004000,010060,004020,009540,034020,003550,051910,039490,010120,022100,001040,005420,010140,011780,002380,036460,035420,006280,003240,009150,003090,000880,000210,090430",30,1.0,0.0,,0.3,10.0
2007-11-30,2007-12-03,2007-12-28,18,"003670,009420,010060,001440,000150,006260,036460,010120,003550,008770,003240,051910,035420,034020,001040,009540,069620,003090,006650,004000,006280,004020,003490,012750,039490,005850,011790,093370,011780,022100",30,1.0,0.0,,0.26666666666666666,10.0
2007-12-28,2008-01-02,2008-01-31,22,"003670,010060,010120,001440,006260,009420,004020,086280,008770,003550,069620,001040,003490,000880,035420,005830,003090,004000,078930,034020,004990,002380,051900,000150,000720,033780,005490,005850,006280,017800",30,1.0,0.0,,0.36666666666666664,10.0
2008-01-31,2008-02-01,2008-02-29,18,"010060,003670,000150,009540,034020,006260,004020,035420,001440,086280,002380,003550,069620,036460,051910,051900,066570,000880,003090,010120,009970,028050,005490,039490,033780,008770,006040,005850,009240,017800",30,1.0,0.0,,0.3,10.0
2008-02-29,2008-03-03,2008-03-31,21,"034020,000150,010060,002380,006260,009540,003670,001440,006040,036460,003550,004020,069620,008770,010120,035420,028050,003490,000880,066570,066970,004000,086280,051910,003090,039490,007340,051900,009240,021240",30,1.0,0.0,,0.16666666666666666,10.0
2008-03-31,2008-04-01,2008-04-30,21,"006040,035420,003670,069620,003090,066970,026960,035720,007340,066570,036460,009240,032640,028670,006260,005850,039490,004020,034230,000670,002840,022100,010130,006650,001440,068270,002380,004000,051910,003030",30,1.0,0.0,,0.43333333333333335,10.0
2008-04-30,2008-05-02,2008-05-30,19,"006040,066970,066570,035420,069620,003670,003090,007340,026960,009240,036460,002840,032640,005930,012330,005380,034230,005850,003030,008730,035720,014680,018880,068270,012450,004020,051910,006650,015760,000660",30,1.0,0.0,,0.3,10.0
