rank,ticker,name,sector_model,sector_source,signal_date,date,rating,current_price,target_price,upside,fair_value_per_share,primary_method,valuation_basis,target_multiple,confidence,composite_score,ml_score,current_per,current_pbr,current_psr,ev_ebitda_proxy,roe,operating_margin,sales_growth,revenue,operating_income,net_income,equity,market_cap_proxy,enterprise_value_proxy,net_debt_proxy,ebitda_proxy,eps,bps,analyst_note_readiness,dart_table_bridge_count,revenue_segment_bridge_count,ebitda_bridge_count,backlog_bridge_count,nav_bridge_count,financial_data_basis,investment_thesis,key_risks
1,000660,에스케이하이닉스(주),IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,2650000.0,1890000,-0.2867924528301887,1887813.735330379,Forward PER,"EPS 58,994원 x target PER 32.0x",32.0,0.9285500000000001,2.3973071171310125,3.0,44.91968588477267,15.98788606854924,19.85869580456562,41.250159247748165,0.4528,0.5067,0.5583,97146675000000.0,47206319000000.0,42947902000000.0,120666751000000.0,1929206267250000.0,1947268176250000.0,18061909000000.0,47206319000000.0,58994.17922907435,165750.49313198315,0.857,225,60,45,33,87,OpenDART CFS annual,"에스케이하이닉스(주)은 IT Hardware & Components 내 quant rank 1위, composite score 2.40로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
2,011070,엘지이노텍(주),IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,981000.0,460000,-0.5310907237512742,461416.091117516,Forward PER,"EPS 14,419원 x target PER 32.0x",32.0,0.95,1.9871471488755656,1.8677115348324071,68.03403826678623,4.028668127524052,1.0603211816463038,37.41015803893794,0.0613999999999999,0.0186,0.0362,21896603000000.0,665007000000.0,341262000000.0,5763054000000.0,23217431967000.0,24878016967000.0,1660585000000.0,665007000000.0,14419.252847422375,243504.79338264707,1.0,226,56,60,36,74,OpenDART CFS annual,"엘지이노텍(주)은 IT Hardware & Components 내 quant rank 2위, composite score 1.99로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
3,009150,삼성전기(주),IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,2184000.0,300000,-0.8626373626373627,301436.3347199535,Forward PER,"EPS 9,420원 x target PER 32.0x",32.0,0.9285500000000001,1.916076679769439,3.0,231.8499528762144,17.298554296582907,14.97905304650337,186.63431527899039,0.0601,0.0425,0.1026,11314459238100.0,913331178557.0,730989517218.0,9797343882863.0,169479885120000.0,170458939132939.0,979054012939.0,913331178557.0,9419.885459998546,126253.32513662252,0.857,266,70,51,65,80,OpenDART CFS annual,"삼성전기(주)은 IT Hardware & Components 내 quant rank 3위, composite score 1.92로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
4,047040,(주)대우건설,Construction & Infrastructure,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,18840.0,11500,-0.3895966029723992,11704.001218071764,PBR plus backlog/margin cycle,"BPS 8,360원 x target PBR 1.40x with backlog evidence",1.4,0.95,1.522786395286174,3.0,-8.547653568062447,2.2535882822084536,0.9721530700182509,-15.455981338583554,-0.3153,-0.1291,-0.2372,8054627137857.0,-815431279791.0,-916079534292.0,3474605615293.0,7830330499920.0,12603290643347.0,4772960143427.0,-815431279791.0,-2204.1136611331553,8360.00087005126,1.0,259,49,52,70,88,OpenDART CFS annual,"(주)대우건설은 Construction & Infrastructure 내 quant rank 1위, composite score 1.52로 선별됐다. 수주잔고 evidence와 마진 안정성을 PBR cycle에 결합해 목표가를 산출했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 원가율 상승과 해외 프로젝트 손실 | 수주잔고의 매출 전환 지연
5,081660,(주)미스토홀딩스,Consumer & Retail,master/KOSPI200,2026-06-30,2026-06-30,BUY,41450.0,89000,1.1471652593486126,89461.46320908952,PER with PBR cross-check,"EPS 6,566원 x target PER 13.6x",13.624300858824636,0.9285500000000001,1.3341522991861576,0.431150773314683,6.312519942563418,0.8482278345058312,0.49246609270945946,8.482166569434352,0.5571,0.9048,1.1084,4468646269416.0,474780974997.0,348617792581.0,2594417063998.0,2200656768000.0,4027171313923.0,1826514545923.0,474780974997.0,6566.31588924023,48866.58785979164,0.857,109,38,19,16,36,OpenDART CFS annual,"(주)미스토홀딩스은 Consumer & Retail 내 quant rank 1위, composite score 1.33로 선별됐다. PER with PBR cross-check 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
6,005930,삼성전자(주),IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,REDUCE,334000.0,215000,-0.3562874251497006,214771.5210056471,Forward PER,"EPS 6,712원 x target PER 32.0x",32.0,0.95,1.2193135472400027,2.0215514408610056,49.764512305702645,5.156061757726411,6.74356882617599,52.15252789947655,0.1373,0.0992,0.1387,333605938000000.0,43601051000000.0,45206805000000.0,436320337000000.0,2249694603724000.0,2273905028724000.0,24210425000000.0,43601051000000.0,6711.610031426472,64778.122469052585,1.0,281,78,29,39,135,OpenDART CFS annual,"삼성전자(주)은 IT Hardware & Components 내 quant rank 4위, composite score 1.22로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
7,402340,에스케이스퀘어(주),IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,BUY,1697000.0,2135000,0.2581025338833236,2136455.4748583916,Forward PER,"EPS 66,764원 x target PER 32.0x",32.0,0.9285500000000001,1.141760669631127,3.0,25.417800950707562,8.010239376978221,158.80162899099625,25.655084615707263,-0.0165,0.8408,1.0149,1411521000000.0,8797421000000.0,8818695000000.0,27983163000000.0,224151834155000.0,225698580155000.0,1546746000000.0,8797421000000.0,66764.23358932474,211853.8435789138,0.857,159,41,27,18,73,OpenDART CFS annual,"에스케이스퀘어(주)은 IT Hardware & Components 내 quant rank 5위, composite score 1.14로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
8,138930,(주)BNK금융지주,Financials,master/KOSPI200,2026-06-30,2026-06-30,BUY,17050.0,22000,0.29032258064516125,21799.432718287033,PBR/ROE,"BPS 36,226원 x target PBR 0.60x",0.6017659112081505,0.95,1.130160354621298,0.8077866672094292,6.3278479552065106,0.47065943956844347,7.694008601044218,18.54101290655842,0.1105,0.8258,0.8728,687687808398.3301,902681388425.0,836157244944.0,11241835322588.0,5291075912650.0,16736627273298.0,11445551360648.0,902681388425.0,2694.438949970562,36225.76871215728,1.0,406,49,155,62,140,OpenDART CFS annual,"(주)BNK금융지주은 Financials 내 quant rank 1위, composite score 1.13로 선별됐다. ROE 11.1%와 PBR 0.47x의 균형을 PBR/ROE 방식으로 점검할 필요가 있다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 충당금·금리·자본규제 변화 | 주주환원 정책 후퇴
9,000990,(주)디비하이텍,IT Hardware & Components,master/KOSPI200,2026-06-30,2026-06-30,BUY,144200.0,185000,0.2829403606102636,185308.64477135803,Forward PER,"EPS 5,791원 x target PER 32.0x",32.0,0.95,1.0299583290562515,1.629810578590354,24.901158851458064,2.802855710625919,4.50146403590166,23.292932812905153,0.1366,0.2488,0.2241,1397233307039.0,277294561174.0,252582440798.0,2243995457046.0,6289595481400.0,6459003582810.0,169408101410.0,277294561174.0,5790.895149104938,51447.52883757902,1.0,259,79,44,49,87,OpenDART CFS annual,"(주)디비하이텍은 IT Hardware & Components 내 quant rank 6위, composite score 1.03로 선별됐다. Forward PER 중심으로 이익가치와 PBR/ROE cross-check를 함께 적용했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 수요 둔화와 마진 하락 | peer multiple 하향
10,034730,에스케이(주),Energy & Chemicals,master/KOSPI200,2026-06-30,2026-06-30,HOLD,834000.0,835000,0.0011990407673860837,834000.0,EV/EBITDA or replacement value,"Fallback BPS 1,172,748원 x peer PBR 0.71x",14.0,0.95,0.9803721195635148,0.997874259881858,17.14070162571029,0.7111502101350154,0.4966402046210022,66.89252478009058,0.089,0.2251,-0.0255,122703338000000.0,1818476000000.0,3555246000000.0,85691335000000.0,60939410892000.0,121642450892000.0,60703040000000.0,1818476000000.0,48656.11794729786,1172748.0187929086,1.0,586,262,108,66,150,OpenDART CFS annual,"에스케이(주)은 Energy & Chemicals 내 quant rank 1위, composite score 0.98로 선별됐다. EBITDA와 순차입금을 반영한 EV/EBITDA 관점에서 0.1%의 재평가 여지를 계산했다.",퀀트 점수는 후행 재무와 가격 데이터를 포함하므로 급격한 업황 변화를 즉시 반영하지 못할 수 있다 | 스프레드와 원재료 가격 변동 | 순차입금·capex 확대
