signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"039490,005850,005940,006800,003090,069620,000810,001450,005830,016360,071050",11,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"039490,005850,005940,006800,003090,069620,000810,001450,005830,016360,071050",11,1.0,0.0,,0.0,10.0
2007-09-28,2007-10-01,2007-10-31,22,"039490,005850,005940,006800,003090,069620,000810,001450,005830,016360,071050",11,1.0,0.0,,0.0,10.0
2007-10-31,2007-11-01,2007-11-30,22,"039490,005850,005940,006800,003090,069620,000810,001450,005830,016360,071050",11,1.0,0.0,,0.0,10.0
2007-11-30,2007-12-03,2007-12-28,18,"039490,005850,005940,006800,003090,069620,000810,001450,005830,016360,071050",11,1.0,0.0,,0.0,10.0
2007-12-28,2008-01-02,2008-01-31,22,"039490,005850,005940,006800,003090,069620,000810,001450,005830,016360,071050",11,1.0,0.0,,0.0,10.0
2008-01-31,2008-02-01,2008-02-29,18,"039490,005850,002840,005940,006800,003090,069620,000810,001450,005830,016360,071050",12,1.0,0.0,,0.08333333333333337,10.0
2008-02-29,2008-03-03,2008-03-31,21,"039490,005850,002840,005940,006800,003090,069620,000810,001450,005830,016360,071050",12,1.0,0.0,,0.0,10.0
2008-03-31,2008-04-01,2008-04-30,21,"039490,035420,003670,066970,026960,035720,032640,034230,022100,068270,005850,002840,000990,007660,003030,006400,006650,073240,001430,007340,002030,009240,008730,005940,009830,015760,000670,024110,036460,018880",30,1.0,0.0,,0.8666666666666666,10.0
2008-04-30,2008-05-02,2008-05-30,19,"039490,066970,035420,003670,026960,032640,034230,035720,068270,022100,005850,002840,000990,007660,003030,006400,006650,073240,001430,007340,002030,009240,008730,005940,009830,015760,000670,024110,036460,018880",30,1.0,0.0,,0.0,10.0
2008-05-30,2008-06-02,2008-06-30,20,"039490,066970,068270,003670,035420,026960,034230,032640,035720,022100,005850,002840,000990,007660,003030,006400,006650,073240,001430,007340,002030,009240,008730,005940,009830,015760,000670,024110,036460,018880",30,1.0,0.0,,0.0,10.0
2008-06-30,2008-07-01,2008-07-31,23,"066970,068270,026960,003670,035420,034230,032640,035720,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670,024110",30,1.0,0.0,,0.06666666666666667,10.0
2008-07-31,2008-08-01,2008-08-29,20,"068270,026960,003670,066970,035420,032640,034230,035720,011070,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670",30,1.0,0.0,,0.03333333333333333,10.0
2008-08-29,2008-09-01,2008-09-30,21,"068270,026960,066970,035420,003670,032640,034230,035720,011070,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670",30,1.0,0.0,,0.0,10.0
2008-09-30,2008-10-01,2008-10-31,22,"068270,026960,032640,066970,003670,035420,035720,034230,011070,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670",30,1.0,0.0,,0.0,10.0
2008-10-31,2008-11-03,2008-11-28,20,"068270,032640,026960,003670,035420,066970,034230,035720,011070,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670",30,1.0,0.0,,0.0,10.0
2008-11-28,2008-12-01,2008-12-30,21,"032640,026960,068270,035420,003670,034230,066970,035720,011070,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670",30,1.0,0.0,,0.0,10.0
2008-12-30,2009-01-02,2009-01-30,19,"032640,026960,068270,035420,003670,066970,034230,011070,035720,022100,002840,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670",30,1.0,0.0,,0.0,10.0
2009-01-30,2009-02-02,2009-02-27,20,"066970,032640,068270,026960,003670,035420,034230,011070,022100,035720,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670,024110",30,1.0,0.0,,0.03333333333333333,10.0
2009-02-27,2009-03-02,2009-03-31,22,"066970,068270,035420,003670,026960,032640,034230,011070,022100,035720,000990,007660,005850,003030,005830,006400,006650,073240,001430,007340,001450,002030,009240,008730,009830,015760,005940,039490,000670,024110",30,1.0,0.0,,0.0,10.0
2009-03-31,2009-04-01,2009-04-30,22,"068270,066970,003670,034230,026960,035720,022100,000990,005420,073240,006650,005850,003030,011780,005830,103140,007660,001450,015760,024110,005940,000660,011170,039490,007340,004020,028670,005380,006800,001430",30,1.0,0.0,,0.3,10.0
2009-04-30,2009-05-04,2009-05-29,19,"066970,068270,003670,034230,026960,035720,022100,000990,005420,073240,006650,005850,003030,011780,005830,103140,007660,001450,015760,024110,005940,000660,011170,039490,007340,004020,028670,005380,006800,001430",30,1.0,0.0,,0.0,10.0
2009-05-29,2009-06-01,2009-06-30,22,"068270,066970,003670,035720,034230,026960,071970,022100,000990,005420,073240,006650,005850,003030,011780,005830,103140,007660,001450,015760,024110,005940,000660,011170,039490,007340,004020,028670,005380,006800",30,1.0,0.0,,0.03333333333333333,10.0
2009-06-30,2009-07-01,2009-07-31,23,"066970,003670,068270,035720,026960,034230,071970,022100,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430,000270,009830,002030",30,1.0,0.0,,0.13333333333333333,10.0
2009-07-31,2009-08-03,2009-08-31,21,"035720,003670,068270,066970,026960,034230,071970,022100,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430,000270,009830,002030",30,1.0,0.0,,0.0,10.0
2009-08-31,2009-09-01,2009-09-30,22,"035720,003670,026960,068270,034230,071970,066970,022100,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430,000270,009830,002030",30,1.0,0.0,,0.0,10.0
2009-09-30,2009-10-01,2009-10-30,21,"035720,026960,003670,034230,071970,068270,066970,022100,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430,000270,009830,002030",30,1.0,0.0,,0.0,10.0
2009-10-30,2009-11-02,2009-11-30,21,"035720,026960,000080,003670,034230,068270,071970,066970,022100,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430,000270,009830",30,1.0,0.0,,0.03333333333333333,10.0
2009-11-30,2009-12-01,2009-12-30,21,"035720,003670,026960,000080,071970,034230,034730,068270,066970,022100,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430,000270",30,1.0,0.0,,0.03333333333333333,10.0
2009-12-30,2010-01-04,2010-01-29,20,"035720,003670,000080,026960,034230,052690,071970,034730,022100,068270,066970,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380,001430",30,1.0,0.0,,0.03333333333333333,10.0
2010-01-29,2010-02-01,2010-02-26,19,"035720,003670,026960,000080,034230,071320,052690,022100,071970,034730,068270,066970,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380",30,1.0,0.0,,0.03333333333333333,10.0
2010-02-26,2010-03-02,2010-03-31,22,"035720,003670,022100,026960,034230,000080,071970,071320,052690,034730,068270,066970,000990,005420,073240,006650,005850,003030,011780,103140,007660,015760,024110,000660,005940,011170,007340,004020,028670,005380",30,1.0,0.0,,0.0,10.0
2010-03-31,2010-04-01,2010-04-30,22,"035720,003670,068270,026960,022100,034230,071320,066970,000990,005850,003240,001680,015760,006650,001430,007660,007340,103140,017800,003030,002030,028670,011780,009830,071970,005940,011170,088350,042660,000270",30,1.0,0.0,,0.3,10.0
2010-04-30,2010-05-03,2010-05-31,19,"068270,035720,003670,026960,034230,071320,066970,022100,000990,005850,003240,001680,015760,006650,001430,007660,007340,103140,017800,003030,002030,028670,011780,009830,071970,005940,011170,088350,042660,000270",30,1.0,0.0,,0.0,10.0
