signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"039490,006800,069620,005850,003090,005940,016360,071050,005830,000810,001450",11,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"039490,005850,006800,003090,005940,069620,016360,071050,005830,000810,001450",11,1.0,0.0,,0.0,10.0
2007-09-28,2007-10-01,2007-10-31,22,"039490,005850,003090,006800,069620,005940,016360,071050,000810,005830,001450",11,1.0,0.0,,0.0,10.0
2007-10-31,2007-11-01,2007-11-30,22,"039490,003090,005850,069620,016360,005830,071050,005940,006800,000810,001450",11,1.0,0.0,,0.0,10.0
2007-11-30,2007-12-03,2007-12-28,18,"069620,003090,039490,005850,005830,000810,016360,006800,071050,005940,001450",11,1.0,0.0,,0.0,10.0
2007-12-28,2008-01-02,2008-01-31,22,"069620,005830,003090,005850,001450,000810,071050,006800,016360,039490,005940",11,1.0,0.0,,0.0,10.0
2008-01-31,2008-02-01,2008-02-29,18,"069620,003090,039490,005850,002840,005830,000810,006800,001450,016360,005940,071050",12,1.0,0.0,,0.08333333333333337,10.0
2008-02-29,2008-03-03,2008-03-31,21,"069620,003090,039490,005850,002840,005830,005940,006800,000810,016360,071050,001450",12,1.0,0.0,,0.0,10.0
2008-03-31,2008-04-01,2008-04-30,21,"006040,069960,001450,011200,003230,011790,001040,016360,009540,005830,011170,021240,086280,004990,034020,000210,035420,001430,005940,006280,006400,023530,033780,005300,003240,000810,029780,009150,000990,012450",30,1.0,0.0,,0.8333333333333333,10.0
2008-04-30,2008-05-02,2008-05-30,19,"006040,014820,012750,021240,016360,000120,036570,086280,008770,003230,010060,004990,073240,003240,000100,055550,066970,069960,006400,002380,011200,009830,000810,017800,029780,047040,023530,005420,006280,005940",30,1.0,0.0,,0.5,10.0
2008-05-30,2008-06-02,2008-06-30,20,"066970,001040,000120,012750,000720,005830,009420,073240,047040,035250,003240,086280,000100,036570,016360,069960,068270,009830,011780,034220,006400,033780,055550,008770,001440,039490,029780,011170,005940,002380",30,1.0,0.0,,0.4,10.0
