signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"005380,000660,009240,005300,009150,000990,006400,017670,015760,035250,066970,030200,034230,069620,000100,000270,032640,090430,008730,086790,008930,005930,023530,018880,011200,003230,012750,004370,001040,022100",30,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"009240,000990,003230,008730,090430,021240,068270,005940,071050,005380,023530,035720,032640,007660,000660,078930,018880,003030,004370,010130,017960,010140,010950,009830,069960,005300,042660,012750,015760,006400",30,1.0,0.0,,0.5,10.0
2007-09-28,2007-10-01,2007-10-31,22,"009240,000990,003230,090430,066970,008730,021240,068270,000660,005380,007660,086790,023530,032640,071050,005940,005930,003030,078930,018880,004370,017960,035720,010140,010950,015760,005300,009830,042660,069960",30,1.0,0.0,,0.1,10.0
2007-10-31,2007-11-01,2007-11-30,22,"000990,008730,000660,000270,009240,004370,003230,036570,018880,066970,007660,005930,005380,017960,086790,024110,015760,003030,023530,021240,090430,068270,032640,005420,002030,012330,071050,030200,010950,014680",30,1.0,0.0,,0.26666666666666666,10.0
2007-11-30,2007-12-03,2007-12-28,18,"008730,000990,034230,007660,036570,000660,004370,005420,024110,009240,003230,068270,000270,017960,003030,018880,006650,014680,007340,015760,005850,055550,001430,086790,005930,002030,066970,010130,012450,005300",30,1.0,0.0,,0.3,10.0
2007-12-28,2008-01-02,2008-01-31,22,"008730,000990,034230,007660,036570,000660,005420,024110,004370,003230,068270,009240,000270,006650,017960,003030,018880,014680,007340,005300,005850,001430,015760,055550,005930,012450,066970,002030,010130,086790",30,1.0,0.0,,0.0,10.0
2008-01-31,2008-02-01,2008-02-29,18,"000990,008730,068270,005420,047040,006650,003230,026960,034230,009240,017960,000660,024110,036570,004370,007660,002380,014680,010140,000270,009420,012330,009830,011780,003030,032640,002030,051910,010950,005300",30,1.0,0.0,,0.36666666666666664,10.0
2008-02-29,2008-03-03,2008-03-31,21,"000990,008730,068270,036570,005420,047040,006650,003230,034230,026960,009240,017960,024110,000660,004370,015760,012330,014680,000270,010140,003030,073240,009420,017670,002380,001800,007660,009830,011780,032640",30,1.0,0.0,,0.13333333333333333,10.0
2008-03-31,2008-04-01,2008-04-30,21,"008730,028670,068270,015760,006650,000990,036570,001800,047040,024110,005420,034230,003230,026960,005300,012330,009240,017960,017670,014680,004370,000660,073240,032640,010140,010950,003030,042700,000270,002790",30,1.0,0.0,,0.16666666666666666,10.0
2008-04-30,2008-05-02,2008-05-30,19,"008730,068270,000990,006650,015760,036570,047040,001800,034230,024110,003230,026960,005420,005300,012330,017960,004370,014680,017670,073240,000660,010140,009240,010950,032640,042700,002790,003030,002030,002380",30,1.0,0.0,,0.06666666666666667,10.0
2008-05-30,2008-06-02,2008-06-30,20,"008730,006650,015760,000990,047040,036570,003230,001800,034230,026960,005420,024110,004370,012330,017960,017670,014680,005850,005300,010140,073240,068270,000880,000660,010950,032640,002790,002030,042700,003030",30,1.0,0.0,,0.06666666666666667,10.0
2008-06-30,2008-07-01,2008-07-31,23,"008730,015760,047040,006650,005850,073240,036570,005420,001800,000990,026960,034230,000880,010140,024110,014680,017960,002790,012330,017670,005300,042700,004370,007340,002030,003030,000660,032640,010950,002380",30,1.0,0.0,,0.06666666666666667,10.0
2008-07-31,2008-08-01,2008-08-29,20,"008730,047040,073240,042700,015760,005850,000880,006650,034230,026960,006800,001800,005420,024110,036570,005300,010140,000990,001680,017670,012330,001040,034220,014680,009830,007340,009150,002790,000660,003490",30,1.0,0.0,,0.23333333333333334,10.0
2008-08-29,2008-09-01,2008-09-30,21,"042700,008730,006650,047040,005850,073240,034230,015760,000880,001680,026960,010140,034220,001800,006800,036570,078930,001040,009150,017670,009420,012330,023530,012450,005420,005300,003090,003490,010120,002790",30,1.0,0.0,,0.2,10.0
2008-09-30,2008-10-01,2008-10-31,22,"042700,034230,005850,006650,008730,073240,001680,047040,034220,023530,015760,069620,001800,078930,000880,036570,009150,003090,035720,002380,026960,086790,022100,035250,003490,010140,001040,006800,012450,009420",30,1.0,0.0,,0.2,10.0
2008-10-31,2008-11-03,2008-11-28,20,"023530,005850,003090,001680,042700,069620,005300,007340,073240,001040,035720,014680,002790,024110,002380,004170,030200,030000,005420,034230,001800,097950,034220,069960,006650,035250,029780,005490,009830,002030",30,1.0,0.0,,0.5,10.0
2008-11-28,2008-12-01,2008-12-30,21,"005850,003090,023530,001680,069620,035720,007340,001040,014680,042700,005300,073240,005420,004170,030200,030000,002790,024110,008930,035250,005940,097950,002380,036460,069960,034220,015760,078930,006650,004990",30,1.0,0.0,,0.2,10.0
2008-12-30,2009-01-02,2009-01-30,19,"005850,003090,023530,069620,001680,005420,035720,007340,001040,042700,014680,004170,073240,030000,030200,036460,005300,008930,035250,071050,002380,002790,017800,097950,024110,096770,005940,009970,069960,034220",30,1.0,0.0,,0.13333333333333333,10.0
2009-01-30,2009-02-02,2009-02-27,20,"005850,003090,069620,023530,035720,001680,005420,007340,014680,001040,036460,008930,030200,002380,042700,005300,073240,035250,030000,004170,097950,002030,024110,010130,002790,029780,000120,009970,005490,009240",30,1.0,0.0,,0.2,10.0
2009-02-27,2009-03-02,2009-03-31,22,"005850,003090,069620,035720,023530,005420,007340,014680,002380,001040,036460,001680,008930,011200,030000,010130,030200,073240,004170,035250,005300,002030,006040,002790,011170,029780,004000,024110,055550,004020",30,1.0,0.0,,0.2,10.0
2009-03-31,2009-04-01,2009-04-30,22,"005850,003090,069620,005420,023530,035720,001040,014680,011200,007340,073240,008930,036460,002380,030200,030000,010130,001680,004170,035250,002030,029780,005300,006040,002790,004000,005490,004020,007310,034220",30,1.0,0.0,,0.1,10.0
2009-04-30,2009-05-04,2009-05-29,19,"005850,003090,005420,069620,023530,001040,014680,008930,035720,002380,036460,011200,007340,029780,005300,010130,001680,002030,035250,030000,004170,030200,073240,005490,034220,007310,096770,004000,004020,006040",30,1.0,0.0,,0.03333333333333333,10.0
2009-05-29,2009-06-01,2009-06-30,22,"005420,005850,003090,069620,023530,014680,035720,010130,002380,007340,036460,002030,001040,029780,001680,008930,035250,006040,005490,096770,005300,030200,011200,033780,078930,007310,002790,004020,097950,034220",30,1.0,0.0,,0.13333333333333333,10.0
2009-06-30,2009-07-01,2009-07-31,23,"005850,003090,005420,069620,035720,010130,014680,023530,006040,035250,036460,007340,008930,002030,011200,002380,014820,033780,030200,002790,005490,001040,007310,097950,096770,030000,001680,005300,004020,008770",30,1.0,0.0,,0.1,10.0
2009-07-31,2009-08-03,2009-08-31,21,"005420,003090,069620,005850,035720,035250,010130,036460,023530,002380,006040,014680,002790,002030,005490,007340,011200,001040,033780,003030,097950,007310,001680,030200,005300,009970,004020,030000,004000,051910",30,1.0,0.0,,0.13333333333333333,10.0
2009-08-31,2009-09-01,2009-09-30,22,"005420,003090,005850,036460,023530,002790,069620,007310,014680,010130,035720,033780,005300,007340,030200,001040,002030,000120,011200,097950,002380,028050,001680,024110,004000,006040,005490,073240,004990,035250",30,1.0,0.0,,0.16666666666666666,10.0
2009-09-30,2009-10-01,2009-10-30,21,"005850,005420,007310,014680,003090,011200,000120,023530,004990,002790,036460,002030,004000,002380,033780,000880,005300,003670,028050,017670,003240,001680,012750,030000,004170,024110,047050,030200,012330,032640",30,1.0,0.0,,0.3333333333333333,10.0
2009-10-30,2009-11-02,2009-11-30,21,"003240,000120,004990,011200,036460,029780,066970,017670,033780,032640,010950,028050,000670,055550,017960,015760,097950,002790,007340,030000,007310,005490,005300,024110,073240,030200,012330,005940,008730,001680",30,1.0,0.0,,0.43333333333333335,10.0
2009-11-30,2009-12-01,2009-12-30,21,"071970,000120,003240,004990,066970,029780,036460,017670,010950,011200,033780,032640,017960,003030,000150,000670,005300,003230,005490,002790,015760,009540,030200,097950,000990,024110,012750,007340,000100,003670",30,1.0,0.0,,0.3,10.0
2009-12-30,2010-01-04,2010-01-29,20,"071970,000120,003240,029780,017670,003030,004990,033780,000670,017960,009540,015760,030200,066970,005490,005300,000150,010950,032640,036460,003230,024110,073240,002790,003670,007340,016360,012750,017800,010140",30,1.0,0.0,,0.13333333333333333,10.0
2010-01-29,2010-02-01,2010-02-26,19,"000120,071970,003030,003240,029780,033780,003090,017800,017960,010950,003230,009540,073240,017670,005420,000150,066970,024110,008730,000810,003670,005300,030200,012750,032640,042660,000670,005490,004990,011780",30,1.0,0.0,,0.2,10.0
2010-02-26,2010-03-02,2010-03-31,22,"000120,071970,003030,017800,003090,003230,003240,010950,000810,005420,033780,012750,017960,009540,034230,004990,005300,011780,011790,066970,008730,042660,000150,010060,010140,003670,017670,073240,030200,016360",30,1.0,0.0,,0.16666666666666666,10.0
2010-03-31,2010-04-01,2010-04-30,22,"000120,071970,003030,017800,003090,003230,003240,010950,012750,010060,011790,009540,034230,005420,000810,066970,000150,017960,042660,005300,008730,010140,011780,016360,004990,033780,003550,017670,039490,032640",30,1.0,0.0,,0.1,10.0
2010-04-30,2010-05-03,2010-05-31,19,"000120,071970,017800,003030,003230,001440,000080,003090,003240,034230,033780,010950,005420,012750,010060,009540,011790,008930,011780,000150,017960,008730,005300,000810,010140,042660,016360,066970,002790,003550",30,1.0,0.0,,0.13333333333333333,10.0
2010-05-31,2010-06-01,2010-06-30,21,"017800,000120,071970,001440,000080,008930,003090,017960,016360,000100,034230,003240,002380,033780,005420,010950,005490,000210,036460,000810,000720,003030,011790,000880,010120,010060,015760,012750,010140,002030",30,1.0,0.0,,0.3333333333333333,10.0
2010-06-30,2010-07-01,2010-07-30,22,"017800,001440,000080,008930,016360,071970,047040,003090,000120,000100,002380,036460,003240,005420,017960,033780,034230,010060,000720,010950,000810,000210,005490,066570,010120,010140,000880,003030,015760,002790",30,1.0,0.0,,0.1,10.0
2010-07-30,2010-08-02,2010-08-31,22,"017800,001440,000080,047040,003090,036460,016360,008930,071970,017960,000100,002380,033780,010140,003240,005420,000210,034230,000720,066570,010120,010060,000880,000810,066970,010950,005490,015760,069620,002790",30,1.0,0.0,,0.06666666666666667,10.0
2010-08-31,2010-09-01,2010-09-30,19,"008930,017800,000080,001440,036460,002380,047040,003090,016360,033780,015760,000810,000100,066570,005420,034230,000720,010120,000880,069620,000210,010060,111770,005490,003230,003240,071320,066970,010950,002030",30,1.0,0.0,,0.13333333333333333,10.0
2010-09-30,2010-10-01,2010-10-29,21,"008930,000080,036460,002380,047040,001440,015760,000880,003090,010120,111770,000720,033780,000100,000810,000210,034230,006280,005490,010060,003230,069620,008730,071320,016360,002030,002790,006260,017960,003240",30,1.0,0.0,,0.16666666666666666,10.0
2010-10-29,2010-11-01,2010-11-30,22,"008930,000080,002380,047040,006280,001440,010120,000720,000880,036460,111770,015760,000210,003090,005490,034230,000100,006260,008730,003230,016360,071320,002030,002790,033780,004370,017960,000810,032640,009970",30,1.0,0.0,,0.1,10.0
2010-11-30,2010-12-01,2010-12-30,22,"008930,002380,000080,015760,010120,000880,001440,036460,004370,111770,047040,005490,000720,006260,003090,071320,017960,002030,003230,000210,034230,016360,008730,032640,002790,009970,012450,066570,033780,088350",30,1.0,0.0,,0.1,10.0
2010-12-30,2011-01-03,2011-01-31,21,"008930,015760,001440,002380,004370,000880,036460,034020,010120,111770,047040,000080,005490,002030,003090,071320,000720,006260,032640,003230,017960,066570,000210,009970,016360,088350,002790,066970,007310,033780",30,1.0,0.0,,0.1,10.0
2011-01-31,2011-02-01,2011-02-28,17,"008930,015760,036460,032640,034020,001440,000080,071320,017960,003230,066970,002030,066570,002380,000880,007310,088350,033780,034220,004370,097950,009970,069620,008730,047040,021240,005490,005300,128940,009240",30,1.0,0.0,,0.26666666666666666,10.0
2011-02-28,2011-03-02,2011-03-31,22,"008930,032640,017960,036460,051600,015760,000080,066970,034020,007310,012450,001440,002030,003230,066570,010120,030200,071320,069620,001680,033780,088350,034220,004370,002380,009970,008730,021240,097950,022100",30,1.0,0.0,,0.2,10.0
2011-03-31,2011-04-01,2011-04-29,21,"008930,036460,032640,051600,015760,034020,012450,017960,000080,030200,066970,001440,033780,002030,008730,066570,007310,001680,069620,021240,003490,088350,034220,010120,011070,097950,017670,009970,026960,000100",30,1.0,0.0,,0.16666666666666666,10.0
2011-04-29,2011-05-02,2011-05-31,20,"008930,036460,032640,034020,030200,051600,012450,028670,011070,015760,066970,033780,000080,009150,008730,007310,069620,066570,021240,003490,001680,002030,128940,088350,034220,017960,010120,017670,001440,000100",30,1.0,0.0,,0.1,10.0
2011-05-31,2011-06-01,2011-06-30,21,"008930,028670,036460,011070,032640,009150,034020,030200,051600,012450,000100,066970,015760,032830,006800,000080,069620,047040,008730,033780,052690,022100,007310,001680,003490,014820,021240,017670,088350,010120",30,1.0,0.0,,0.2,10.0
2011-06-30,2011-07-01,2011-07-29,21,"008930,011070,028670,036460,032640,051600,034020,030200,009150,069620,066570,066970,006800,052690,000100,012450,032830,015760,008730,003090,033780,047040,017670,026960,000080,014820,022100,005940,007310,034220",30,1.0,0.0,,0.16666666666666666,10.0
2011-07-29,2011-08-01,2011-08-31,22,"008930,028670,011070,036460,032640,030200,034020,051600,069620,066970,066570,006800,017670,052690,009150,012450,022100,000100,015760,032830,034220,003090,033780,014820,005940,008730,128940,000080,047040,021240",30,1.0,0.0,,0.06666666666666667,10.0
2011-08-31,2011-09-01,2011-09-30,20,"011070,066570,009150,032640,012450,034220,028670,015760,006800,036460,030200,000100,034020,008930,004000,069620,022100,003550,010120,017670,105560,052690,000660,032830,066970,051600,005940,008730,005490,005930",30,1.0,0.0,,0.23333333333333334,10.0
2011-09-30,2011-10-04,2011-10-31,20,"011070,006800,009150,008930,066570,069620,000100,022100,015760,012450,004000,034220,030200,036460,032640,028670,066970,105560,005940,003490,052690,088350,034020,002380,005490,016360,002030,010120,051600,029780",30,1.0,0.0,,0.2,10.0
2011-10-31,2011-11-01,2011-11-30,22,"011070,006800,009150,066570,008930,000100,030200,069620,034220,004000,036460,012450,002030,015760,066970,088350,034020,105560,026960,006260,032640,005940,028670,010120,128940,003490,071320,002380,000080,003090",30,1.0,0.0,,0.2,10.0
2011-11-30,2011-12-01,2011-12-29,21,"069620,006800,011070,008930,009150,002030,030200,004000,066570,000100,012450,036460,015760,034220,006260,001440,105560,005940,032830,026960,029780,088350,003490,032640,016360,002380,010120,006040,066970,071970",30,1.0,0.0,,0.2,10.0
2011-12-29,2012-01-02,2012-01-31,20,"069620,008930,006800,011070,009150,030200,001440,066570,004000,002030,000100,012450,036460,015760,034220,071970,032830,006260,105560,088350,029780,026960,016360,023530,010120,003490,032640,006040,005940,071320",30,1.0,0.0,,0.06666666666666667,10.0
2012-01-31,2012-02-01,2012-02-29,21,"069620,008930,006800,011070,009150,004000,066570,001440,032830,006260,071970,034220,002030,026960,015760,029780,030200,138040,003490,006040,023530,088350,000100,071320,024110,005490,012450,047050,016360,105560",30,1.0,0.0,,0.13333333333333333,10.0
2012-02-29,2012-03-02,2012-03-30,21,"069620,008930,004000,009150,006260,071320,138040,029780,006800,001440,032830,023530,034220,002030,026960,006040,015760,066570,011070,071970,016360,005490,024110,010120,030200,012450,128940,105560,088350,047050",30,1.0,0.0,,0.06666666666666667,10.0
2012-03-30,2012-04-02,2012-04-30,20,"008930,069620,071320,004000,138040,006260,029780,023530,006800,009150,026960,001440,016360,071970,002030,128940,015760,006040,066570,034220,030200,005490,002840,010120,042700,012450,032830,047050,024110,088350",30,1.0,0.0,,0.06666666666666667,10.0
