signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"010060,039490,000670,093370,000150,005420,028050,003670,069260,009540,006260,086280,011200,011780,009420,010140,010130,017800,034020,042660,051910,003490,004000,006800,000210,004020,001440,042700,003030,003240",30,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"006260,010060,000670,011780,005420,039490,093370,003670,069260,011200,000150,009420,017800,009540,004020,051910,086280,001440,004000,028050,006650,010130,010140,000210,012450,009970,003490,002380,002030,007310",30,1.0,0.0,,0.2,10.0
2007-09-28,2007-10-01,2007-10-31,22,"009420,010060,003670,000670,006260,005420,000150,009540,004000,086280,017800,011200,004020,006650,011780,039490,002380,028050,069260,000210,010140,003240,003550,051910,000880,001440,009970,012450,007310,010120",30,1.0,0.0,,0.13333333333333333,10.0
2007-10-31,2007-11-01,2007-11-30,22,"009420,010060,000150,086280,006260,003670,001440,003550,004000,004020,039490,022100,009540,034020,051910,035420,016360,011780,001450,001040,005830,000880,010120,008770,009970,002380,000670,006280,003240,069260",30,1.0,0.0,,0.3,10.0
2007-11-30,2007-12-03,2007-12-28,18,"003670,009420,010060,000150,001440,003550,014820,006260,036460,003240,034020,035420,005830,022100,009540,008770,009970,010120,051910,069620,069260,004020,093370,003490,011780,001040,016360,006280,001450,039490",30,1.0,0.0,,0.16666666666666666,10.0
2007-12-28,2008-01-02,2008-01-31,22,"010060,005830,001450,003670,086280,069620,003550,004020,009420,003490,006260,051900,034020,010120,001440,000810,035420,009970,000880,001040,004990,008770,002380,003090,066570,078930,000150,006280,000210,017800",30,1.0,0.0,,0.36666666666666664,10.0
2008-01-31,2008-02-01,2008-02-29,18,"010060,009970,069620,034020,086280,000150,009540,004020,003670,001450,035420,036460,051900,003550,066570,006260,093370,006040,022100,003490,005830,039490,000210,001440,008770,028050,010120,017800,003090,011200",30,1.0,0.0,,0.26666666666666666,10.0
2008-02-29,2008-03-03,2008-03-31,21,"010060,034020,000150,006040,036460,009540,069620,006260,003550,003490,003670,002380,001440,004020,066570,069260,051900,035420,086280,008770,039490,009970,010120,004000,028050,000210,066970,001450,000720,035720",30,1.0,0.0,,0.2,10.0
2008-03-31,2008-04-01,2008-04-30,21,"010060,006040,034020,066970,069620,066570,000150,036460,003550,001440,003090,001450,069260,004000,004020,006260,009540,003670,086280,008770,011200,002380,006400,010120,008930,000720,007340,003490,035420,022100",30,1.0,0.0,,0.2,10.0
2008-04-30,2008-05-02,2008-05-30,19,"006040,066970,066570,010060,069620,036460,003550,003090,011200,008930,007340,005930,004020,004000,005380,000150,086280,051900,000100,006400,012450,003670,000720,009240,005420,001440,012750,069260,002840,009150",30,1.0,0.0,,0.3333333333333333,10.0
2008-05-30,2008-06-02,2008-06-30,20,"066970,010060,066570,006040,005420,003550,036460,068270,069620,000720,005930,051900,007340,004000,012450,004020,001450,005380,051910,003670,006260,000150,006400,086280,069260,008770,009240,003090,012750,007310",30,1.0,0.0,,0.2,10.0
2008-06-30,2008-07-01,2008-07-31,23,"066970,006040,068270,010060,066570,036460,069260,004000,006400,003230,051900,086280,004020,003670,008770,003550,012750,033780,051910,069620,003030,007310,000150,005930,001450,001430,007340,009240,006260,005420",30,1.0,0.0,,0.13333333333333333,10.0
2008-07-31,2008-08-01,2008-08-29,20,"068270,006040,010060,066970,051600,009240,003030,051900,066570,001430,051910,003230,006400,033780,003670,006280,000100,007310,001450,003550,036460,069260,026960,002840,018880,005420,004370,004000,008770,012750",30,1.0,0.0,,0.23333333333333334,10.0
2008-08-29,2008-09-01,2008-09-30,21,"068270,066970,010060,006040,003030,001430,009240,051900,051600,006400,036460,051910,006280,033780,086280,007310,018880,000270,000100,066570,012750,003230,026960,021240,012330,069260,090430,003550,004370,032640",30,1.0,0.0,,0.2,10.0
2008-09-30,2008-10-01,2008-10-31,22,"068270,066970,001430,006040,006400,006280,032640,033780,000270,009240,018880,051900,051600,000100,086280,007310,012750,003030,012330,021240,010060,004370,090430,026960,051910,036460,066570,017670,003670,009970",30,1.0,0.0,,0.1,10.0
2008-10-31,2008-11-03,2008-11-28,20,"068270,066970,001430,006400,009240,033780,004370,051600,032640,018880,000270,006280,006040,069260,017670,000100,051900,026960,003030,007660,002840,012330,007310,008730,010950,090430,021240,005380,086280,012750",30,1.0,0.0,,0.2,10.0
2008-11-28,2008-12-01,2008-12-30,21,"004370,032640,068270,066970,009240,007660,000100,008730,026960,001430,017670,033780,002840,006280,018880,007310,006400,003240,090430,051600,004990,011200,000240,000270,051900,003230,005930,010950,000810,021240",30,1.0,0.0,,0.23333333333333334,10.0
