signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"003090,071050,069620,006800,039490,005850,016360,000810,005830,005940,001450",11,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"003090,071050,069620,006800,039490,005850,016360,000810,005830,005940,001450",11,1.0,0.0,,0.0,10.0
2007-09-28,2007-10-01,2007-10-31,22,"003090,071050,069620,006800,039490,005850,016360,000810,005830,005940,001450",11,1.0,0.0,,0.0,10.0
2007-10-31,2007-11-01,2007-11-30,22,"003090,071050,069620,006800,039490,005850,016360,000810,005830,005940,001450",11,1.0,0.0,,0.0,10.0
2007-11-30,2007-12-03,2007-12-28,18,"003090,071050,069620,006800,039490,005850,016360,000810,005830,005940,001450",11,1.0,0.0,,0.0,10.0
2007-12-28,2008-01-02,2008-01-31,22,"003090,071050,069620,006800,039490,005850,016360,000810,005830,005940,001450",11,1.0,0.0,,0.0,10.0
2008-01-31,2008-02-01,2008-02-29,18,"003090,071050,069620,002840,006800,039490,005850,016360,000810,005830,005940,001450",12,1.0,0.0,,0.08333333333333337,10.0
2008-02-29,2008-03-03,2008-03-31,21,"003090,071050,069620,002840,006800,039490,005850,016360,000810,005830,005940,001450",12,1.0,0.0,,0.0,10.0
2008-03-31,2008-04-01,2008-04-30,21,"003550,086790,078930,055550,003090,071050,035420,002790,035250,033780,069620,042700,010130,012750,097950,090430,005490,035720,021240,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670,010120",30,1.0,0.0,,0.8666666666666666,10.0
2008-04-30,2008-05-02,2008-05-30,19,"003550,086790,078930,055550,003090,071050,035420,002790,035250,033780,069620,042700,010130,012750,097950,090430,005490,035720,021240,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670,010120",30,1.0,0.0,,0.0,10.0
2008-05-30,2008-06-02,2008-06-30,20,"003550,086790,078930,055550,003090,071050,035420,002790,035250,033780,069620,042700,010130,012750,097950,090430,005490,035720,021240,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670,010120",30,1.0,0.0,,0.0,10.0
2008-06-30,2008-07-01,2008-07-31,23,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.03333333333333333,10.0
2008-07-31,2008-08-01,2008-08-29,20,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2008-08-29,2008-09-01,2008-09-30,21,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2008-09-30,2008-10-01,2008-10-31,22,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2008-10-31,2008-11-03,2008-11-28,20,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2008-11-28,2008-12-01,2008-12-30,21,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2008-12-30,2009-01-02,2009-01-30,19,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,051600,028670,017670,036570,017960,002840,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2009-01-30,2009-02-02,2009-02-27,20,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,002840,051600,028670,017670,036570,017960,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2009-02-27,2009-03-02,2009-03-31,22,"003550,086790,078930,055550,035420,003090,071050,002790,035250,033780,042700,010130,012750,097950,090430,069620,005490,035720,021240,039490,002840,051600,028670,017670,036570,017960,011170,026960,006040,000670",30,1.0,0.0,,0.0,10.0
2009-03-31,2009-04-01,2009-04-30,22,"003550,035420,055550,003090,071050,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,069620,068270,005490,009970,078930,039490,021240,012330,090430,026960,069260,028670,051910,051600",30,1.0,0.0,,0.26666666666666666,10.0
2009-04-30,2009-05-04,2009-05-29,19,"003550,035420,055550,003090,071050,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,069620,068270,005490,009970,078930,039490,021240,012330,090430,026960,069260,028670,051910,051600",30,1.0,0.0,,0.0,10.0
2009-05-29,2009-06-01,2009-06-30,22,"003550,035420,055550,003090,071050,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,069620,068270,005490,009970,078930,039490,021240,012330,090430,026960,069260,028670,051910,051600",30,1.0,0.0,,0.0,10.0
2009-06-30,2009-07-01,2009-07-31,23,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490,000100",30,1.0,0.0,,0.06666666666666667,10.0
2009-07-31,2009-08-03,2009-08-31,21,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490,000100",30,1.0,0.0,,0.0,10.0
2009-08-31,2009-09-01,2009-09-30,22,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490,000100",30,1.0,0.0,,0.0,10.0
2009-09-30,2009-10-01,2009-10-30,21,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490,000100",30,1.0,0.0,,0.0,10.0
2009-10-30,2009-11-02,2009-11-30,21,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,000080,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490",30,1.0,0.0,,0.03333333333333333,10.0
2009-11-30,2009-12-01,2009-12-30,21,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,000080,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490",30,1.0,0.0,,0.0,10.0
2009-12-30,2010-01-04,2010-01-29,20,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,000080,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490",30,1.0,0.0,,0.0,10.0
2010-01-29,2010-02-01,2010-02-26,19,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,000080,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490",30,1.0,0.0,,0.0,10.0
2010-02-26,2010-03-02,2010-03-31,22,"003550,035420,055550,086790,002790,033780,035250,006400,017960,001680,035720,010060,012750,010130,068270,005490,009970,078930,000080,021240,012330,090430,069620,026960,069260,028670,051910,051600,069960,039490",30,1.0,0.0,,0.0,10.0
2010-03-31,2010-04-01,2010-04-30,22,"006260,000120,078930,036570,035420,002790,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,069620,005300,051600,011170,090430,012330,010060,010130,051910,039490,003240,026960,006280",30,1.0,0.0,,0.3333333333333333,10.0
2010-04-30,2010-05-03,2010-05-31,19,"006260,000120,078930,036570,035420,002790,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,069620,005300,051600,011170,090430,012330,010060,010130,051910,039490,003240,026960,006280",30,1.0,0.0,,0.0,10.0
2010-05-31,2010-06-01,2010-06-30,21,"006260,000120,078930,036570,035420,002790,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,069620,005300,051600,011170,090430,012330,010060,010130,051910,039490,003240,026960,006280",30,1.0,0.0,,0.0,10.0
2010-06-30,2010-07-01,2010-07-30,22,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.1,10.0
2010-07-30,2010-08-02,2010-08-31,22,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2010-08-31,2010-09-01,2010-09-30,19,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2010-09-30,2010-10-01,2010-10-29,21,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2010-10-29,2010-11-01,2010-11-30,22,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2010-11-30,2010-12-01,2010-12-30,22,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2010-12-30,2011-01-03,2011-01-31,21,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2011-01-31,2011-02-01,2011-02-28,17,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2011-02-28,2011-03-02,2011-03-31,22,"003090,005850,071050,006260,000120,078930,036570,035420,002790,069620,001040,035250,105560,003550,055550,052690,068270,033780,086790,069260,009970,005300,051600,011170,090430,012330,010060,010130,051910,003240",30,1.0,0.0,,0.0,10.0
2011-03-31,2011-04-01,2011-04-29,21,"005850,071050,035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,003670,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.3,10.0
2011-04-29,2011-05-02,2011-05-31,20,"005850,071050,035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,003670,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-05-31,2011-06-01,2011-06-30,21,"005850,071050,035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,003670,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-06-30,2011-07-01,2011-07-29,21,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,039490,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.03333333333333333,10.0
2011-07-29,2011-08-01,2011-08-31,22,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,039490,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-08-31,2011-09-01,2011-09-30,20,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,039490,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-09-30,2011-10-04,2011-10-31,20,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,039490,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-10-31,2011-11-01,2011-11-30,22,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,039490,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-11-30,2011-12-01,2011-12-29,21,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,039490,021240,002790,090430,069260,029780,055550,003240,012750",30,1.0,0.0,,0.0,10.0
2011-12-29,2012-01-02,2012-01-31,20,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,007070,039490,021240,002790,090430,069260,029780,055550,003240",30,1.0,0.0,,0.03333333333333333,10.0
2012-01-31,2012-02-01,2012-02-29,21,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,007070,039490,021240,002790,090430,069260,029780,055550,003240",30,1.0,0.0,,0.0,10.0
2012-02-29,2012-03-02,2012-03-30,21,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,007070,039490,021240,002790,090430,069260,029780,055550,003240",30,1.0,0.0,,0.0,10.0
2012-03-30,2012-04-02,2012-04-30,20,"035420,086790,036570,035720,068270,035250,000660,033780,009970,003550,001800,078930,051910,010060,052690,042700,010130,006260,006280,005850,003670,007070,039490,021240,002790,090430,069260,029780,055550,003240",30,1.0,0.0,,0.0,10.0
2012-04-30,2012-05-02,2012-05-31,21,"035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,002790,006260,051910,051600,000660,071320,039490,012750,090430,021240,051900,017670",30,1.0,0.0,,0.26666666666666666,10.0
2012-05-31,2012-06-01,2012-06-29,20,"035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,002790,006260,051910,051600,000660,071320,039490,012750,090430,021240,051900,017670",30,1.0,0.0,,0.0,10.0
2012-06-29,2012-07-02,2012-07-31,22,"035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,002790,006260,051910,051600,000660,071320,039490,012750,090430,021240,051900,017670",30,1.0,0.0,,0.0,10.0
2012-07-31,2012-08-01,2012-08-31,22,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.03333333333333333,10.0
2012-08-31,2012-09-03,2012-09-28,20,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2012-09-28,2012-10-02,2012-10-31,21,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2012-10-31,2012-11-01,2012-11-30,22,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2012-11-30,2012-12-03,2012-12-28,18,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2012-12-28,2013-01-02,2013-01-31,22,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2013-01-31,2013-02-01,2013-02-28,19,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2013-02-28,2013-03-04,2013-03-29,20,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2013-03-29,2013-04-01,2013-04-30,22,"071050,035420,009970,035720,068270,086790,004170,036570,003550,003670,078930,052690,028670,035250,010130,033780,010060,055550,001040,039490,002790,006260,051910,051600,000660,071320,012750,090430,021240,051900",30,1.0,0.0,,0.0,10.0
2013-04-30,2013-05-02,2013-05-31,21,"071050,004370,035420,000240,034220,071970,003550,009970,105560,006260,014820,068270,078930,055550,002790,138930,033780,039490,096770,052690,035720,006400,035250,051600,001040,010130,042700,139130,002840,005930",30,1.0,0.0,,0.43333333333333335,10.0
2013-05-31,2013-06-03,2013-06-28,19,"071050,004370,035420,000240,034220,071970,003550,009970,105560,006260,014820,068270,078930,055550,002790,138930,033780,039490,096770,052690,035720,006400,035250,051600,001040,010130,042700,139130,002840,005930",30,1.0,0.0,,0.0,10.0
