signal_date,first_return_date,next_signal_date,holding_days,selected_tickers,selected_count,target_exposure,cash_weight,regime,turnover,transaction_cost_bps
2007-07-31,2007-08-01,2007-08-31,22,"005380,000660,009240,005300,009150,000990,006400,017670,015760,035250,066970,030200,034230,069620,000100,000270,032640,090430,008730,086790,008930,005930,023530,018880,003090,011200,003230,012750,004370,001040",30,1.0,0.0,,1.0,10.0
2007-08-31,2007-09-03,2007-09-28,17,"009240,000990,003230,008730,090430,021240,071050,068270,005380,023530,035720,032640,007660,000660,078930,018880,003030,004370,069620,010130,017960,010140,010950,009830,069960,005300,042660,012750,015760,006400",30,1.0,0.0,,0.4666666666666667,10.0
2007-09-28,2007-10-01,2007-10-31,22,"009240,000990,003230,090430,066970,008730,021240,071050,068270,000660,005380,007660,086790,023530,032640,005930,003030,078930,018880,004370,069620,017960,035720,010140,010950,015760,005300,009830,042660,069960",30,1.0,0.0,,0.1,10.0
2007-10-31,2007-11-01,2007-11-30,22,"000990,008730,000660,000270,009240,004370,003230,036570,018880,066970,007660,005930,005380,017960,086790,071050,024110,015760,003030,023530,021240,090430,003090,068270,032640,005420,069620,002030,012330,030200",30,1.0,0.0,,0.26666666666666666,10.0
2007-11-30,2007-12-03,2007-12-28,18,"008730,000990,034230,007660,036570,000660,004370,005420,024110,009240,003230,068270,000270,017960,003030,018880,006650,014680,007340,015760,055550,003090,001430,071050,005850,086790,005930,002030,066970,010130",30,1.0,0.0,,0.26666666666666666,10.0
2007-12-28,2008-01-02,2008-01-31,22,"008730,000990,034230,007660,036570,000660,005420,024110,004370,003230,068270,009240,000270,006650,017960,003030,018880,014680,007340,005300,001430,015760,003090,055550,005850,071050,005930,012450,066970,002030",30,1.0,0.0,,0.06666666666666667,10.0
2008-01-31,2008-02-01,2008-02-29,18,"000990,008730,068270,005420,047040,006650,003230,026960,034230,009240,017960,000660,024110,036570,004370,007660,002380,014680,010140,000270,009420,012330,071050,009830,011780,003030,003090,032640,002030,051910",30,1.0,0.0,,0.3333333333333333,10.0
2008-02-29,2008-03-03,2008-03-31,21,"000990,008730,068270,036570,005420,047040,006650,003230,034230,026960,009240,017960,024110,000660,004370,015760,012330,014680,000270,010140,003030,073240,009420,017670,071050,002380,001800,007660,009830,011780",30,1.0,0.0,,0.13333333333333333,10.0
2008-03-31,2008-04-01,2008-04-30,21,"028670,008730,086790,006650,068270,026960,047040,015760,042700,055550,071050,036570,017960,034230,078930,017670,035420,012330,032640,002790,009240,000660,000990,004370,010130,005490,005300,001800,014680,035250",30,1.0,0.0,,0.4,10.0
2008-04-30,2008-05-02,2008-05-30,19,"008730,068270,006650,086790,026960,047040,042700,036570,055550,015760,017960,071050,078930,034230,035420,017670,012330,032640,002790,000990,010130,004370,000660,005490,005300,009240,001800,014680,035250,010950",30,1.0,0.0,,0.03333333333333333,10.0
2008-05-30,2008-06-02,2008-06-30,20,"008730,006650,026960,086790,047040,042700,015760,055550,036570,017960,034230,017670,071050,078930,012330,032640,035420,002790,005850,004370,010130,000990,000660,068270,014680,005490,005300,001800,018880,010950",30,1.0,0.0,,0.06666666666666667,10.0
2008-06-30,2008-07-01,2008-07-31,23,"008730,026960,047040,006650,042700,086790,015760,035420,055550,036570,017960,034230,005850,002790,017670,078930,071050,012330,032640,010130,004370,007340,014680,000660,005490,001680,001800,005300,003550,009830",30,1.0,0.0,,0.13333333333333333,10.0
2008-07-31,2008-08-01,2008-08-29,20,"042700,008730,047040,086790,026960,035420,055550,006650,015760,005850,034230,078930,001680,017670,069620,036570,003090,002790,071050,012330,034220,032640,017960,010130,006800,005300,000660,007340,009830,035250",30,1.0,0.0,,0.16666666666666666,10.0
2008-08-29,2008-09-01,2008-09-30,21,"042700,035420,078930,003090,047040,006650,008730,086790,026960,055550,034230,005850,001680,071050,034220,017670,069620,002790,036570,012330,022100,015760,035250,039490,010120,011170,003550,005490,003670,000660",30,1.0,0.0,,0.23333333333333334,10.0
2008-09-30,2008-10-01,2008-10-31,22,"042700,086790,003090,035420,078930,034230,035720,006650,069620,001680,005850,026960,055550,008730,035250,047040,034220,071050,022100,017670,011170,002790,023530,005490,036570,010130,012330,003670,010120,015760",30,1.0,0.0,,0.1,10.0
2008-10-31,2008-11-03,2008-11-28,20,"003090,042700,035420,035720,086790,069620,001680,023530,055550,078930,010130,005850,002790,035250,003550,007340,071050,005490,034220,034230,030200,005300,006650,014680,069960,017670,022100,011170,047040,006040",30,1.0,0.0,,0.23333333333333334,10.0
2008-11-28,2008-12-01,2008-12-30,21,"003090,035420,035720,005850,042700,069620,086790,078930,001680,055550,071050,035250,003550,023530,002790,007340,010130,030200,005490,017670,022100,014680,034220,006040,017800,005300,047040,005930,069960,006650",30,1.0,0.0,,0.06666666666666667,10.0
2008-12-30,2009-01-02,2009-01-30,19,"003090,035420,035720,069620,042700,005850,086790,071050,001680,003550,078930,055550,035250,023530,010130,007340,002790,030200,017800,014680,017670,022100,005490,006040,034220,011170,005930,012330,002840,033780",30,1.0,0.0,,0.13333333333333333,10.0
2009-01-30,2009-02-02,2009-02-27,20,"003090,035420,035720,069620,005850,003550,042700,086790,001680,055550,010130,035250,078930,071050,007340,023530,014680,030200,006040,002790,005490,011170,022100,033780,005930,034220,017800,036460,012750,012330",30,1.0,0.0,,0.06666666666666667,10.0
2009-02-27,2009-03-02,2009-03-31,22,"003090,035420,035720,069620,055550,003550,010130,005850,086790,078930,035250,042700,071050,001680,023530,007340,006040,002790,011170,005490,030200,014680,022100,033780,005930,034220,003670,036460,012750,017800",30,1.0,0.0,,0.03333333333333333,10.0
2009-03-31,2009-04-01,2009-04-30,22,"003090,035720,069620,005850,010130,055550,035250,071050,023530,007340,003550,014680,002790,005490,005420,034220,012330,003670,001680,009970,017960,011200,030200,035420,004020,006040,034230,002380,030000,004000",30,1.0,0.0,,0.3333333333333333,10.0
2009-04-30,2009-05-04,2009-05-29,19,"003090,035720,069620,005850,010130,055550,035250,071050,023530,003550,007340,005420,005490,014680,034220,002790,001680,012330,017960,004020,009970,003670,035420,011200,002380,034230,004000,005300,028670,003030",30,1.0,0.0,,0.1,10.0
2009-05-29,2009-06-01,2009-06-30,22,"003090,035720,069620,010130,005850,035250,005420,007340,003550,023530,005490,014680,055550,071050,002790,003670,033780,034220,001680,009970,003030,006040,004020,017960,012330,034230,071970,002380,051910,030200",30,1.0,0.0,,0.16666666666666666,10.0
2009-06-30,2009-07-01,2009-07-31,23,"035720,003090,069620,010130,035250,007340,002790,055550,005490,014680,003030,023530,009970,005420,006040,033780,003550,003670,012330,004020,068270,051910,034230,005850,001680,007310,034220,030200,006400,026960",30,1.0,0.0,,0.13333333333333333,10.0
2009-07-31,2009-08-03,2009-08-31,21,"035720,003090,069620,010130,035250,002790,005490,055550,009970,003030,005420,007340,023530,003550,014680,033780,006040,003670,012330,051910,026960,001680,004020,007310,002380,068270,006400,011200,030200,004000",30,1.0,0.0,,0.1,10.0
