ticker,rows,start_date,end_date,first_adj_close,last_adj_close,total_volume,total_trading_value,simple_return
000080,731,2023-01-02,2025-12-30,24400,18440,149512342,3150318619194,-0.24426229508196717
000100,731,2023-01-02,2025-12-30,53979,112400,655690838,72455709371910,1.0822912614164766
000120,731,2023-01-02,2025-12-30,91000,94600,56328553,5406851313638,0.03956043956043964
000150,731,2023-01-02,2025-12-30,76800,781000,140378268,33678914450871,9.169270833333334
000210,731,2023-01-02,2025-12-30,57200,37650,55486913,2538985294450,-0.34178321678321677
000240,731,2023-01-02,2025-12-30,13900,26150,165162905,2844945613310,0.881294964028777
000270,731,2023-01-02,2025-12-30,61500,121800,924629791,90667012941626,0.9804878048780488
000660,731,2023-01-02,2025-12-30,75700,651000,2816706699,569065364570576,7.599735799207398
000670,731,2023-01-02,2025-12-30,55031,47500,42314396,1835683057650,-0.1368501390125566
000720,731,2023-01-02,2025-12-30,33600,70100,601238105,28964571608015,1.0863095238095237
000810,731,2023-01-02,2025-12-30,194500,497000,69370095,23381050192480,1.5552699228791775
000880,731,2023-01-02,2025-12-30,25350,81600,284183471,13563134600065,2.2189349112426036
000990,731,2023-01-02,2025-12-30,36600,67600,386427497,21143037310275,0.8469945355191257
001040,731,2023-01-02,2025-12-30,84700,172000,111905398,13179629533337,1.0306965761511218
001430,731,2023-01-02,2025-12-30,15400,50200,131537720,3455504205220,2.25974025974026
001440,731,2023-01-02,2025-12-30,13444,22900,1983844672,30976967730558,0.7033620946146979
001450,731,2023-01-02,2025-12-30,28800,30800,289059936,8672933910629,0.06944444444444442
001680,731,2023-01-02,2025-12-30,21450,21050,110232886,2446899310500,-0.018648018648018683
001800,731,2023-01-02,2025-12-30,14950,20650,69371935,1231221271387,0.3812709030100334
002030,731,2023-01-02,2025-12-30,125500,326500,1615212,367734038000,1.6015936254980079
002380,731,2023-01-02,2025-12-30,199500,420500,22572932,6344148377600,1.107769423558897
002790,731,2023-01-02,2025-12-30,34850,26850,164195013,4966875765268,-0.22955523672883793
002840,731,2023-01-02,2025-12-30,165500,150300,1607367,282152254700,-0.09184290030211484
003030,731,2023-01-02,2025-12-30,142000,128100,7815064,1478474536259,-0.09788732394366195
003090,731,2023-01-02,2025-12-30,19700,22050,82009898,1691464787815,0.11928934010152292
003230,731,2023-01-02,2025-12-30,123500,1231000,56722123,30777539134882,8.96761133603239
003240,731,2023-01-02,2025-12-30,742000,762000,1026988,840146238500,0.02695417789757415
003490,731,2023-01-02,2025-12-30,22700,22550,796874454,18387277836487,-0.0066079295154185536
003550,731,2023-01-02,2025-12-30,76600,80700,174737433,14155099368138,0.05352480417754579
003670,731,2023-01-02,2025-12-30,185624,187000,470329969,127526561653454,0.00741283454725683
004000,731,2023-01-02,2025-12-30,54000,44550,49507047,2462219900423,-0.17500000000000004
004020,731,2023-01-02,2025-12-30,30450,31050,370951420,11432611371432,0.019704433497536922
004170,731,2023-01-02,2025-12-30,217000,247000,34633375,6452396308660,0.13824884792626735
004370,731,2023-01-02,2025-12-30,352000,432500,21722917,9086339039897,0.22869318181818188
004990,731,2023-01-02,2025-12-30,30050,26450,154531168,4345542540615,-0.11980033277870217
005300,731,2023-01-02,2025-12-30,169500,139200,17791006,2378971578091,-0.17876106194690267
005380,731,2023-01-02,2025-12-30,157000,296500,559424033,124938554747976,0.8885350318471337
005420,731,2023-01-02,2025-12-30,20958,14350,442063056,19139646023595,-0.3152972611890448
005490,731,2023-01-02,2025-12-30,272000,305000,471533565,197146135398148,0.12132352941176472
005830,731,2023-01-02,2025-12-30,63400,131100,127478885,12681455625856,1.0678233438485805
005850,731,2023-01-02,2025-12-30,23750,42850,138666462,4783778308085,0.8042105263157895
005930,731,2023-01-02,2025-12-30,55500,119900,13296945595,941679198956323,1.1603603603603605
005940,731,2023-01-02,2025-12-30,8500,21100,442614227,6243054594700,1.4823529411764707
006040,731,2023-01-02,2025-12-30,44556,41900,41932744,1622433886775,-0.059610377951342164
006260,731,2023-01-02,2025-12-30,67300,199900,234645148,29320587359050,1.9702823179791977
006280,731,2023-01-02,2025-12-30,127000,159000,31566645,4288223042300,0.25196850393700787
006400,731,2023-01-02,2025-12-30,589377,269500,299658714,105007995181425,-0.5427375007847269
006650,731,2023-01-02,2025-12-30,165000,144800,26755244,3540413433550,-0.12242424242424244
006800,731,2023-01-02,2025-12-30,5954,23249,1043051504,16339356164807,2.9047699025864966
007070,731,2023-01-02,2025-12-30,23734,20100,168531176,3243202801873,-0.1531136765821185
007310,731,2023-01-02,2025-12-30,464500,385000,3613395,1478430272602,-0.17115177610333687
007340,731,2023-01-02,2025-12-30,12558,24400,83676051,1562120494885,0.9429845516802038
007660,731,2023-01-02,2025-12-30,5300,119200,2909859773,91575487951932,21.49056603773585
008730,731,2023-01-02,2025-12-30,36150,25800,90910422,3060680150105,-0.2863070539419087
008770,731,2023-01-02,2025-12-30,81500,44600,201339834,13059814568414,-0.45276073619631907
008930,731,2023-01-02,2025-12-30,31650,36250,231032899,9224472389700,0.1453396524486572
009150,731,2023-01-02,2025-12-30,132500,255000,290022795,44985423075558,0.9245283018867925
009240,731,2023-01-02,2025-12-30,43050,46150,27190750,1371682787550,0.07200929152148672
009420,731,2023-01-02,2025-12-30,17600,43750,448290273,15645889633450,1.4857954545454546
009540,731,2023-01-02,2025-12-30,71000,407000,198938526,39588010216415,4.732394366197183
009830,731,2023-01-02,2025-12-30,50425,25278,1335426057,40726299783002,-0.49870104115022307
009970,731,2023-01-02,2025-12-30,58700,191500,11501554,1116291064895,2.262350936967632
010060,731,2023-01-02,2025-12-30,62062,115200,109924885,9615199822784,0.856208307821211
010120,731,2023-01-02,2025-12-30,11020,92000,1426477014,49642640906712,7.348457350272232
010130,731,2023-01-02,2025-12-30,539000,1316000,41053695,30451734942403,1.4415584415584415
010140,731,2023-01-02,2025-12-30,5080,24100,5368782672,64323855395069,3.744094488188976
010950,731,2023-01-02,2025-12-30,82800,83000,201347696,14121272460225,0.0024154589371980784
011070,731,2023-01-02,2025-12-30,253000,271000,132052439,29275936448181,0.07114624505928857
011170,731,2023-01-02,2025-12-30,175500,70300,105616717,10935437611365,-0.5994301994301994
011200,731,2023-01-02,2025-12-30,19350,20500,1623440023,31514476757603,0.05943152454780365
011210,731,2023-01-02,2025-12-30,50400,75700,93026109,5242952882200,0.501984126984127
011780,731,2023-01-02,2025-12-30,121000,120700,74180058,9444322469781,-0.0024793388429752428
011790,731,2023-01-02,2025-12-30,82808,98129,294644528,33144525470330,0.18501835571442382
012330,731,2023-01-02,2025-12-30,202500,373000,147367274,36930372802064,0.8419753086419752
012450,731,2023-01-02,2025-12-30,74973,941000,388477325,111939335250546,11.551185093300255
0126Z0,26,2025-11-24,2025-12-30,438500,743000,35245505,19097484906000,0.6944127708095782
