source_column,canonical_name,position,statement_block,unit,include_in_standard_schema
회사명,name,1,market_or_ratio,,True
거래소코드,ticker,2,market_or_ratio,,True
회계년도,fiscal_period,3,market_or_ratio,,True
[A100000000][공통]자산(*)(IFRS)(천원),assets_krw_thousand,4,balance_sheet,thousand_krw,True
[A600000000][공통]자본(*)(IFRS)(천원),equity_krw_thousand,5,balance_sheet,thousand_krw,True
[A600010000][공통]* 수권주식수(IFRS)(주),,6,balance_sheet,shares,False
[A600010100][공통]* 주당 액면가액(IFRS)(원),,7,balance_sheet,krw,False
[A600010200][공통]* 발행한 주식총수(*)(IFRS)(주),shares_outstanding,8,balance_sheet,shares,True
[A600010300][공통]   보통주(IFRS)(주),common_shares,9,balance_sheet,shares,True
[A600010400][공통]   우선주(IFRS)(주),preferred_shares,10,balance_sheet,shares,True
[A611000000][공통]   자본금(*)(IFRS)(천원),,11,balance_sheet,thousand_krw,False
[A611010000][공통]      보통주자본금(IFRS)(천원),,12,balance_sheet,thousand_krw,False
[A611010100][공통]      우선주자본금(IFRS)(천원),,13,balance_sheet,thousand_krw,False
[A611050000][공통]   신종자본증권(IFRS)(천원),,14,balance_sheet,thousand_krw,False
[A612000000][공통]   자본잉여금(*)(IFRS)(천원),,15,balance_sheet,thousand_krw,False
[A612010000][공통]      주식발행초과금(IFRS)(천원),,16,balance_sheet,thousand_krw,False
[A612010100][공통]      배당건설이자(IFRS)(천원),,17,balance_sheet,thousand_krw,False
[A612010200][공통]      주식매입선택권(IFRS)(천원),,18,balance_sheet,thousand_krw,False
[A612010300][공통]      감자차익(IFRS)(천원),,19,balance_sheet,thousand_krw,False
[A612010400][공통]      보험차익(IFRS)(천원),,20,balance_sheet,thousand_krw,False
[A612010500][공통]      합병차익(IFRS)(천원),,21,balance_sheet,thousand_krw,False
[A612010600][공통]      자산수증이익(IFRS)(천원),,22,balance_sheet,thousand_krw,False
[A612010700][공통]      채무면제이익(IFRS)(천원),,23,balance_sheet,thousand_krw,False
[A612010800][공통]      자기주식처분이익(IFRS)(천원),,24,balance_sheet,thousand_krw,False
[A612010900][공통]      전환권대가(IFRS)(천원),,25,balance_sheet,thousand_krw,False
[A612011000][공통]      신주인수권대가(IFRS)(천원),,26,balance_sheet,thousand_krw,False
[A612011100][공통]      교환권대가(IFRS)(천원),,27,balance_sheet,thousand_krw,False
[A612011200][공통]      전환권재매입이익(IFRS)(천원),,28,balance_sheet,thousand_krw,False
[A612011300][공통]      기타자본잉여금(IFRS)(천원),,29,balance_sheet,thousand_krw,False
[A612011400][공통]      재평가적립금(2001년 이전)(IFRS)(천원),,30,balance_sheet,thousand_krw,False
[A613000000][공통]   기타자본(*)(IFRS)(천원),,31,balance_sheet,thousand_krw,False
[A613010000][공통]      자기주식(IFRS)(천원),,32,balance_sheet,thousand_krw,False
[A613010100][공통]      자기주식처분손실(IFRS)(천원),,33,balance_sheet,thousand_krw,False
[A613010200][공통]      주식할인발행차금(IFRS)(천원),,34,balance_sheet,thousand_krw,False
[A613010300][공통]      주식매입선택권(IFRS)(천원),,35,balance_sheet,thousand_krw,False
[A613010400][공통]      감자차손(IFRS)(천원),,36,balance_sheet,thousand_krw,False
[A613010500][공통]      파생상품평가이익(IFRS)(천원),,37,balance_sheet,thousand_krw,False
[A613010600][공통]      파생상품평가손실(IFRS)(천원),,38,balance_sheet,thousand_krw,False
[A613010700][공통]      전환권재매입손실(IFRS)(천원),,39,balance_sheet,thousand_krw,False
